Question	Correct response	Follow-up questions needed	Comment
What factors affect the price of Guntur Chilli?	Dear Farmer, Following are the major reasons that affect the price of Guntur Chilli 1. The market for chillies is affected by seasonal price fluctuations 2. One of the major constraints for this price fluctuations are seasonal nature of agricultural production itself 3. Prices are usually at the lowest when arrivals are at topmost and improve with the decline of arrivals the end of crop season 4. Domestic and international demand fluctuations, supply chain disruptions, rising production costs, and broader economic conditions 5. Changing agricultural practices, climate variability, market demand, and policy interventions 6. Cultivated area, yield efficiency, and overall production volume. 		
What is the appropriate age for vaccination of cows?  	Dear Farmer friend, following are the different types of vaccines and their dosages  1.  Foot and Mouth Disease (FMD) - first dose at the age of 4 months, booster dose 1 month after the first dose and subsequent dose half yearly  2. Haemorrhagic Septicaemia (HS) - first dose at the age of 6 months and above and subsequent dose annually before the onset of monsoon in endemic areas.  3. Black Quarter (BQ) - first dose at the age of 6 months and above and subsequent dose annually before the onset of monsoon in endemic areas.  4. Brucellosis (Contagious Abortion) - 4-8 months of age (Once in a lifetime Only for female calves) 5. Theileriosis - 3 months of age and above (Once in a lifetime & Only required for crossbred and exotic cattle) 6. Anthrax - first dose at the age of 4 months and  above and subsequent dose annually in endemic areas.  7. Infectious Bovine Rhimotracheitis (IBR) - first dose at the age of 3 months and above, booster dose 1 month after the first dose and subsequent dose half yearly 8. Rabies (A highly fatal viral disease mainly transmitted by bite of a rabid dog - Post bite therapy only) - first dose imediately after suspected bite, booster dose 4th day after first dose, subsequest dose 7,14,28 and 90 (optional) days after first dose. 		
What cheyyali to prevent the mango tree from rotting and falling 	Dear Farmer, Fruit rotting is a fungal disease which significantly reduce the yield. Hence, close monitoring and prevention through fruit bagging, biological control through Trichoderma and Bacillus subtilis and use of low toxic fungicides are advisable. 		
What are alternative crops to cowdung?	Dear Farmer, The following green manure crops and green leaf manuring crops are alternate source for cowdung 1. Green Manure Crops: Sunhemp, Dhaincha and Sesbania 2. Green Leaf Manure Crops: Gliricidia, Pongamia, Neem, Gulmohur, Peltophorum 		
What are the effects of marigold as a trap crop?	Dear Valuable Farmer, Marigold as a trap crop will exhibit the following impact  1.  Marigolds are used as nematode-killing plants which are soil-dwelling, microscopic, worm like parasites that feed on plant roots, causing swelling or galls within the roots, obstructing the flow of water, mineral salts and nutrients. 2. Marigold inhibits the visit of insect pests and natural enemies on the canopy of rice plants. 3. Marigold affect the visit of insect pests, natural enemies, and pollinators. This helps in increasing the productivity.  4. Cultivation of marigold on field bunds of tomato crop can manage insect pest and provides additional income 5. Trap cropping of marigold with tomato also found effective in controlling fruit borer		
How do I prevent leaf blight in chili?	Dear Farmer, to prevent leaf blight in chilli  1. Use disease-free seeds,  2. Practicing crop rotation,  3. Raise 2-3 rows of maize or sorghum as border crop to restrict the spread of aphid vectors 4. Apply Carbofuran 3G @ 4-5 Kg/acre in the mainfield to control sucking complex and insect vectors 5. Apply copper-based bactericides to manage bacterial leaf blight 6. Choose resistant/tolerant varieties to bacterial leaf blight		
Can the quantity of grain be increased in the absence of green fodder?  	Dear Farmer,  No, the quantity of grain cannot be directly increased in the absence of green fodder. Green fodder is crucial for livestock, particularly for animals that produce milk, as it provides essential nutrients and helps maintain their overall health and productivity. While dry fodder (like straw) and grains can be used as substitutes, they don't offer the same nutritional balance as green fodder, and relying solely on them can negatively impact animal health and potentially reduce the overall productivity of livestock. A balanced approach that includes green fodder, dry fodder, and grains is crucial for optimal livestock health and productivity.		
How do I to recognize milk fever in cows?  	Dear Farmer, Milk fever is also known as hypocalcemia or parturient paresis. This occurs due to low blood calcium levels, especially after calving. Milk fever symptoms are mild muscle tremors, restlessness, severe paralysis and inability to stand. 		
Can animal feed be made at home?  	Dear Farmer, Yes, the animal feed can be made at home which is cost affective, and can be made from the ingredients that are easily accessible (such as grains, soybeans, alfalfa, corn, wheat & rice bran, cotton seeds, salt, groundnut cake, coconut cake,  , affordable, provide high quality nutrition and customised to the dietary needs of your livestock.		
How do I to choose a suitable breed of cow?  	Namasthe Farmer Friend, the following are the best breeds of cows for Indian subcontinent  1. GIR - Suitable for Gujarat, Maharashtra and parts of Rajasthan  2. RED sINDH - Punjab and Haryana  3. SAHIWAL - Northwest states of India  4. HALLIKAR - Karnataka state and North districts of Andhra Pradesh  5. AMRITMAHAL - Hassan, Chikmagalur and Chitradurga district of Karnataka 6. KHILLARI - Sholapur and Sitapur districts of Maharashtra 7. KANGAYAM - Kangayam, Dharapuram, Perundurai, Erode, Bhavani and part of Gobichettipalayam taluk of Erode and Coimbatore district 8. BARGUR - Bargur hills in Bhavani taluk of Erode district in Tamilnadu 9. UMBLACHERY - Thanjavur, Thiruvarur and Nagappattinam districts of Tamil Nadu 10. PULIKULAM - cumbum valley of Madurai district in Tamil Nadu 11. ALAMBADI - Alambadi of Dharmapuri district in Tamilnadu 12. Tharparkar - Rajasthan  13. Hariana - Rohtak, Hisar, Jind and Gurgaon districts of Haryana and also popular in Punjab, UP and parts of MP 14. Kankrej - Southeast Rann of Kutch of Gujarat and adjoining Rajasthan (Barmer and Jodhpur district) 15. Ongole - Ongole taluk in Guntur district of Andhra Pradesh 16. Krishna Valley - Karnataka and border districts of Maharastra.  17. Deoni - Western Andra Pradesh and also found in Marathwada region of Maharashtra state and adjoining part of Karnataka. The other exotic breeds are Jersey, Holstein Friesian, and Jersey Cross.  		
