Question,Correct response,Follow-up questions needed,Comment
"What is the appropriate age for vaccination of cows?

","The appropriate age for vaccinating a cow on depend on many things, including the disease, the geographical location, health status of the animal, among others. However, there are general guidelines that could enhance the efficacy of vaccination programs and herd health. For example: 
Calves: need to be vaccinated at birth or within few days after birth to prevent viral (anthrax, lumpy skin disease) and respiratory infections. Nonetheless, colostrum from the mother milk provides significant immunity to calves.
Heifers: vaccinated against 
Adult cows:
Pregnant cows:",What is the age composition of your herd,
What should I do to prevent the mango tree from rotting and falling ,"Mango trees have a long lifespan of about 40-60 years. However, poor drainage as well as overwatering could lead to rotting and falling of the trees. Poor drainage creates waterlogged conditions that lead roots from fungal infections such as fusarium wilt, phytophthora infestans. In areas that prone to water logging, it is recommended to earth-up the soil around the root area. 
Overwatering would create a consistently moist environment for fungal growth. In this case, it recommended to avoid continuous supply of water and adopt intermittent watering regime. ",What do you see on the roots of the fallen mango trees?,
What are alternative crops to cowdung?,"Dung and manure are important sources of plant nutrients and microorganisms. However, when cow dung is not available one can source for compost waste, green manure and kitchen waste. Compost waste is a mixture of organic waste such as leaves, plant residues, food waste, and also animal manure that can be composted to improve the soil physical, biological and chemical properties. Green manure are cover crops that are grown and ploughed back into the soil when they attain a certain vegetative growth aiming at improving the soil fertility and structure. Some crops used for green manure include legumes like peas, clove, grasses like oats. Additionally, kitchen waste are a good source of nutrients when composted  properly. They are made from vegetable and fruit peels and food remains. Composting of kitchen include introduction of earthworms and microorganisms to break down food to valuable organic matter for the soil.",Which organic waste do you have access to?,
What are the effects of marigold as a trap crop?,"The common marigold in Kenya is the Mexican species (Tagetes minuta), which is commonly known as muvangi. Marigolds attract insects which then feed on them instead of the main crop, hence reducing damage to the main crop. In this regard, crops are intercropped with marigolds either in the same row, or in distinct strips or the marigold is grown around the plots of the main crop. ",Do you of any other potential trap crops?,
How do I prevent leaf blight in chili?,"Blight in chili affects leaves and the young fruits. Conditions that predispose chili to leaf blight are wet and cold environments (rainy weather). The disease thrives on wet leaves. To prevent severity of this disease it is recommended to use resistant varieties and grow chilli during the dry season or use an irrigation method that does not damp water onto the leaves. Also, improve on crop nutrition to have healthy crops that will tolerate the disease. We may spray mild fungicides prevent the disease. You could also prevent the disease by growing chili away of infected fields or in that had past history of the disease. In addition, do grow chili in companion or rotation with crops that susceptible to leaf blight because they will habour the disease pathogen. ",Which crop did you rotate with your chili crops?,
"Can the quantity of grain be increased in the absence of green fodder?

","Maintaining the ratio of green fodder to grain is important in livestock production. However, when green fodder is not available, one can supplement it with grains. Often, cattle are usually comfortable being fed green fodder or hay before grain is introduced to the ration. Over 2 to 3 weeks, the green fodder or hay can be lowered as the ratio of grain is increased. While that happens, it is recommended that roughages, which include dry pasture, green fodder, hay, and straw, should always be 30 % of the ration given to the animal. 
However, when hay roughage is depleted, 0.5 kg/head/day of grain can be introduced. This amount must be maintained and increased progressively during the first three days until all the cattle are accustomed to eating grain. Farmers are, however, advised to be watchful, as feeding grain during the first period might potentially lead to health problems such as bloating.",Which green fodder have you grown in your farm?,
"How do I to recognize milk fever in cows?

","Milk fever is a disease caused by deficiency of blood calcium mostly during calving. This condition occurs mostly in late pregnancies and early days of lactation where calcium levels demand is increased leading to a reduction in the blood calcium levels. The principle behind the increased demand is the need for calcium in the milk production for the calves through the colostrum. The cows respond to the demand by generating calcium from reserves live the bones and the gut. Milk fever can be recognized by loss of appetite, weakness, nervousness which occurs in the first stage and can often go unnoticed. In the next stage the cow can be seen lying on flat tummy, the animal becomes dull with cold ears and dry nose and with trembling muscles causing difficulties in walking. Other symptoms can include low body temperature and an increased heartbeat with constipation and disturbed digestion. Other instances can lead to the animal unable to stand and progressive loss of consciousness. In a worse cause scenario, milk fever can cause death to the animals.",Do you know how to supplement calcium and other necessary nutrient in your feeding program?,
"Can animal feed be made at home?

","Animal feed can be made at home. It can be more difficult for large scale farming because of the feed making operations. However, it is important to learn the nutritional needs of the animals as you make the feeds to curate feeds that meet the nutritional needs of the animals. Making animal feed at home can be cheaper especially after harvest season. The cost of getting the raw material can be reduced making a save as compared to buying already manufactured feeds. The feeds can also include some of the agricultural waste from the farm and the kitchen. The feed will also of a better quality and tailored to the animal’s dietary needs since the farmer is able to know the exact ingredients added to the feed. The process of making the feeds involves having an understanding of the dietary and nutritional needs of the specific animals. Coming up with a formula that guides the mixing of the ingredients. Bringing together all the ingredients required. Mixing the ingredients in the right proportions. Finally, storing the feeds properly to avoid mold or any other interferences that might cause harm to the feed.",Do you know the dietary and nutritional requirements of your animals?,
"How do I to choose a suitable breed of cow?

","When choosing the most suitable breed of cow, it is crucial not to risk buying an attractive cow that generates little milk. When selecting a good breed one should consider breeds that have a high genetic potential for milk for dairy breeds and meat for slaughter. While an outstanding cow may yield not much milk when not properly cared for, it nevertheless remains important to pick a cow breed with the right qualities for the conditions in which it will be reared. For a heifer, one should consult the past records of its lineage to make certain they select a cow with a track record of becoming pregnant effortlessly when inseminated, giving birth with no complications, and displaying calm behavior for easy care and milking. Considerably, such a cow must possess a good udder that is wide but sizably medium, not hanging loosely, and has spaced teats pointing down for easy milking and higher milk yields. It is additionally important to examine the breed's body shape and make sure it has an extended neck with a straight backline, strong straight legs, and feet that are spread out, ensuring it can graze and walk at ease, particularly when pregnant. Taller cows have good stature that will support good feed intake and digestions important in milk production. A wide chest and deep depth in body provides enough room for digestive and breathing organs improving feed conversion. Aside from that, this specific breed must be lean with an extended wedge-like body, which enables it to convert plenty of feed into milk.",Which breeds of cow are mostly reared in your area?,
What are some regenerative farming strategies I can try?,"Regenerative farming strategies are practices that promote biological cycles by relying on organic substrates and eliminate the use synthetic or inorganic inputs. Strategies that are within the reach of majority farmers could be grouped in the following categories:
Soil fertility improvement: the use of organic manures such farm yard manure, compost, green manures cover crops, mineral grade rocks such as silicates and rock phosphates; legumes that add nitrogen to the soil
Disease and pest management: use of crude plant extracts with pesticidal properties such as neem (mwarobaini, tithonia, lantana, garlic, chilly, marigold etc); ash, soap sprays, physical control methods like picking and killing of pests; thining and pruning crops to improve light penetration and air circulation 
Soil moisture conservation practices: covering soils with mulch, either crop residue mulch, plastic film mulch or rocks and sand; cover crops; sufficient control of weeds to minimize moisture use; zero and minimum tillage practices",Which of the practices are within your reach?,
