question_id,prompt,answer,correct_answer
1,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: How do I, in the shortest duration and cost effectively correct for nutrient deficiency in my farm?

Answer options:
A. Test soil for nutrient deficiency or perform visual observations of the crop to diagnose the deficiency; get the right source of fertilizer to replenish the deficiency; apply the right rate of the fertilizer that would sufficiently correct the deficiency; apply the fertilizer at the right stage of the crop to maximize uptake and use…remember to apply when soil is moist; place the fertilizer close to the plant root zone but not too close to avoid scotching
B. Test soil for nutrient deficiency or perform visual observations of the crop to diagnose the deficiency; apply well rotten manure; apply the right rate of the manure that would sufficiently correct the deficiency; apply the manure at the right stage of the crop to maximize uptake and use…remember to apply when soil is moist; place the manure close to the plant root zone but not too close to avoid scotching
C. Apply fertilizer at the right rate, and the right stage of the crop; place the fertilizer close to the root system

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A

Rationale:  
1. Rapid correction requires knowing exactly which nutrient is deficient, so testing or visual diagnosis is essential.  
2. Choosing the right fertilizer source targets the specific deficient nutrient most cost-effectively and quickly.  
3. Applying the correct rate avoids waste or toxicity and achieves sufficiency without overspending.  
4. Timing at the crop’s uptake stage and moist soil maximizes nutrient availability and uptake speed.  
5. Proper placement near the root zone ensures roots can access nutrients immediately without scorching the plant.",A
2,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: How do I implement integrated pest management (IPM) on a farm?

Answer options:
A. Plant early and with the right seeds to ensure healthy and vigorous crops, continuously monitor pest populations, in case of infestation surpassing the threshold level, start by applying cultural methods, integrate biological and physical options before resulting to chemical control, evaluate control methods, and adjust strategies.
B. Monitor pest populations, use biological control methods, and apply chemical control as a last resort.
C. Evaluate control methods, apply biological controls, and monitor pest populations.
D. Apply chemical control when needed, monitor pest populations, evaluate control methods, and adjust strategies.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A, B

Rationale:  
1. Option A outlines the full IPM cycle—starting with cultural practices, threshold‐based monitoring, integrating nonchemical controls, and evaluating results before chemical use.  
2. Option B highlights the core IPM principle of regular pest monitoring, prioritizing biological methods, and reserving chemicals as a last resort.  
3. Options C and D omit key IPM components such as cultural practices, threshold monitoring, or the sequencing of control tactics.  
4. Therefore, both A and B correctly reflect integrated, stepwise pest management.",A
3,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: How do I calibrate a knapsack sprayer to ensure accurate pesticide application?

Answer options:
A. Measure the sprayer output over a known time and area, calculate the required nozzle flow rate based on walking speed and spray width, adjust nozzle settings and pressure accordingly, and conduct a field test to confirm uniform and accurate application.
B. Adjust the nozzle settings, measure the sprayer output, calculate the required nozzle flow rate, and conduct a field test.
C. Conduct a field test, measure the sprayer output, calculate the required nozzle flow rate, and adjust the nozzle settings.
D. Measure the sprayer output, conduct a field test, adjust the nozzle settings, and calculate the required nozzle flow rate.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A

Rationale:  
1. Proper calibration begins by measuring how much spray the knapsack delivers over a known time and swath width.  
2. You then calculate the nozzle flow rate needed to cover your target area at your walking speed.  
3. Adjusting nozzle size and pressure to match that rate ensures the right volume per hectare.  
4. A final field trial confirms that your settings deliver uniform coverage without over- or under-application.  
5. Options B–D omit key steps or present them in the wrong sequence.",A
4,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: What is the right procedure to harvest onions?

Answer options:
A. Harvest during the dry season, at about 90-150 after planting depending on the variety. The crop must be mature by observing that the tops have started to yellow or droop, and the bulbs will have formed shing membranous cover around them. To harvest, loosen the soil around the plants to allow for easier removal. Pull the bulbs by hand or dig them up with garden fork. Once the bulbs are out of the ground, cut the tops back to about one inch. Clean the bulbs and let them dry in the sun to cure (dry out) before storing. If long storage is intended, cure the bulbs in a well-ventilated store by spreading on racks until the necks and outer scale leaves of the bulbs are thoroughly dried.
B. Harvest during the wet season, at about 90-150 after planting depending on the variety. The crop must be mature by observing that the tops have started to yellow or droop, and the bulbs will have formed shing membranous cover around them. To harvest, loosen the soil around the plants to allow for easier removal. Pull the bulbs by hand or dig them up with garden fork. Once the bulbs are out of the ground, cut the tops back to about one inch. Clean the bulbs and let them dry in the sun to cure (dry out) before storing. If long storage is intended, cure the bulbs in a well-ventilated store by spreading on racks until the necks and outer scale leaves of the bulbs are thoroughly dried.
C. Harvest at about 90-150 after planting depending on the variety. The crop must be mature by observing that the tops have started to yellow or droop, and the bulbs will have formed shing membranous cover around them. To harvest, loosen the soil around the plants to allow for easier removal. Pull the bulbs by hand or dig them up with garden fork. Clean the bulbs and let them dry in the sun to cure (dry out) before storing. If long storage is intended, cure the bulbs in a well-ventilated store by spreading on racks until the necks and outer scale leaves of the bulbs are thoroughly dried.
D. Harvest during the dry season, at about 90-150 after planting depending on the variety. To harvest, loosen the soil around the plants to allow for easier removal. Pull the bulbs by hand or dig them up with garden fork. Once the bulbs are out of the ground, cut the tops back to about one inch. Clean the bulbs and let them dry in the sun to cure (dry out) before storing. If long storage is intended, cure the bulbs in a well-ventilated store by spreading on racks until the necks and outer scale leaves of the bulbs are thoroughly dried.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A

Rationale:  
1. Onions should be lifted in the dry season to ensure good curing and minimize rots.  
2. Maturity is judged at about 90–150 days when tops yellow and fall and the bulb scales turn papery.  
3. Loosening soil and lifting by hand or fork prevents bulb damage.  
4. Cutting tops to about one inch and cleaning prevents decay during curing.  
5. Sun‐drying followed by rack curing in a ventilated store readies bulbs for long storage.",A
5,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: How should I wear PPE?

Answer options:
A. Put on overall/coveralls first, then gloves, mask, and finish with the face shield
B. Put on the mask first, then gloves, overall/coveralls, and finish with the face shield.
C. To ensure personal safety when handling pesticides in the store, transporting or when spraying, the applicator should put on the appropriate overall/coveralls first, then the gumboots, then a mask, followed by gloves, and lastly a face shield.
D. Put on gloves, then a face shield, followed by overall/coveralls, and finally a mask.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: C

Rationale:  
1. You should don full-body protection (overall/coveralls) before any other items to avoid contaminating clothing.  
2. Gumboots follow to protect feet and lower legs when moving between store, transport, and field.  
3. A respiratory mask comes next to seal your airway before handling chemicals.  
4. Gloves are put on after the mask to seal wrists and avoid pesticide contact when adjusting the mask.  
5. A face shield is worn last to protect the eyes and face without disturbing previously donned PPE.",C
6,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: How do I use animal waste management on a mixed crop-livestock farm?

Answer options:
A. Collect animal waste and dump it directly onto crop fields.
B. Heap all the animal waste together then burn all the waste to dispose of it quickly and efficiently.
C. Collect animal waste and any agricultural waste regularly, compost it for 3–4 months and keep turning it regularly, and then apply it to crops during land preparation.
D. Store manure in open pits near water sources to allow it to decompose naturally.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: C

Rationale: Composting animal and crop residues for 3–4 months with regular turning produces a stable, nutrient-rich organic fertilizer and destroys pathogens. Applying well-matured compost at land preparation improves soil structure, water retention and nutrient availability. Direct dumping (A) can cause nutrient runoff and uneven distribution. Burning (B) wastes valuable nutrients and produces air pollution. Storing manure in open pits near water sources (D) risks contaminating groundwater and spreading pathogens.",C
7,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: How do I determine the seed rate required for planting on a farm?

Answer options:
A. Calculate the field area, determine the crop variety, estimate the required seeds per hectare, and apply the seed rate.
B. Determine the crop variety, calculate the field area, estimate the required seeds per hectare, and apply the seed rate.
C. Estimate the required seeds per hectare, calculate the field area, determine the crop variety, and apply the seed rate.
D. Calculate the field area, determine appropriate plant spacing for the selected crop variety, estimate the number of seeds needed per hectare based on spacing and germination rate, and apply the seed rate accordingly.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B, D

Rationale:
1. You must first choose the crop variety so you know its recommended seeding rate.  
2. Next calculate your field area to scale that rate to your farm size.  
3. For a quick estimate (option B), multiply your area by the variety’s seeds-per-hectare rate.  
4. For greater accuracy (option D), also factor in your chosen spacing and the seed’s germination rate when deriving seeds per hectare.  
5. Both methods ultimately yield the required seed rate to apply across your field.",D
8,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Last year I experienced significant losses in my stored maize grain. How do I handle my grain to minimize these losses?

Answer options:
A. Harvest the crop when the leaves are dry. Thresh the grain either manually or mechanically but avoid seed breakage. Mix the grain with an insecticide (grain dust) at the recommended rate. Put the treated grain in gunny bags ready storage. Alternatively, you can put dry grain in hermetic without treating with insecticide. Clean the store, and dust it with insecticides before storing the bags. Ensure the store is well ventilated, and free from rodents, and stack the bags on pallets and in a way that ventilation is maximized.
B. Harvest during the dry season, and importantly when maize is physiologically mature. Dry the harvested cobs under the until the moisture content is reduced to about 13%. You can estimate that the grain is dry by doing simple tests like salt test or biting test. Thresh the grain either manually or mechanically but avoid seed breakage. Mix the grain with an insecticide (grain dust) at the recommended rate. Put the treated grain in gunny bags ready storage. Alternatively, you can put dry grain in hermetic without treating with insecticide. Clean the store, and dust it with insecticides before storing the bags.
C. Harvest during the dry season, and importantly when maize is physiologically mature. Thresh the grain either manually or mechanically but avoid seed breakage. Mix the grain with an insecticide (grain dust) at the recommended rate. Put the treated grain in gunny bags ready storage. Alternatively, you can put dry grain in hermetic without treating with insecticide. Clean the store, and dust it with insecticides before storing the bags. Ensure the store is well ventilated, and free from rodents, and stack the bags on pallets and in a way that ventilation is maximized.
D. Harvest during the dry season, and importantly when maize is physiologically mature. Dry the harvested cobs under the until the moisture content is reduced to about 13%. You can estimate that the grain is dry by doing simple tests like salt test or biting test. Thresh the grain either manually or mechanically but avoid seed breakage. Mix the grain with an insecticide (grain dust) at the recommended rate. Put the treated grain in gunny bags ready storage. Alternatively, you can put dry grain in hermetic without treating with insecticide. Clean the store, and dust it with insecticides before storing the bags. Ensure the store is well ventilated, and free from rodents, and stack the bags on pallets and in a way that ventilation is maximized.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: D

Rationale:  
1. Proper timing (physiological maturity) and sun-drying to ~13% moisture prevents mold and insect buildup.  
2. Simple moisture checks (salt or bite tests) ensure grain is safe for storage.  
3. Gentle threshing avoids seed breakage, reducing pest entry points.  
4. Treating with recommended insecticidal dust or using hermetic bags controls stored-grain pests.  
5. A clean, insecticide-dusted store further reduces pest carry-over.  
6. Good ventilation and rodent eradication prevent moisture hotspots and grain loss.  
7. Stacking bags on pallets enhances air circulation and keeps grain off damp floors.",D
9,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: How do I make organic fertilizer from animal manure?

Answer options:
A. Collect manure, compost it, apply the compost to the soil, and monitor soil quality.
B. Collect manure, store it for several weeks, compost it, and apply it to the soil.
C. Collect fresh animal manure, mix it with carbon-rich organic materials (like crop residues or dry leaves) to balance the carbon-to-nitrogen ratio, maintain adequate moisture and aeration during composting by turning the pile regularly, and apply the mature compost to the soil.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A, C

Rationale:  
1. Both A and C correctly start with collecting animal manure and end with applying composted material to the soil.  
2. A outlines the basic cycle of composting manure and monitoring soil quality, which is essential for organic fertilizer production.  
3. C provides the necessary details on balancing the carbon-to-nitrogen ratio and maintaining moisture and aeration for efficient composting.  
4. Together, they cover both the general process (A) and the detailed compost management steps (C) needed to produce high-quality organic fertilizer.",C
10,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: What is the best weed control strategy on a farm?

Answer options:
A. Use mechanical control methods, apply herbicides, monitor weed growth, and evaluate alternatives.
B. First identify the weed species in your farm, use mechanical control methods e.g uprooting or manual weeding, monitor weed growth rate, and evaluate alternatives whether it requires use of herbicides to manage its growth and competition.
C. Identify weed species, apply chemical herbicides, monitor the effectiveness, and evaluate alternatives.
D. Apply herbicides, use mechanical control, monitor effectiveness, and evaluate alternatives.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B

Rationale:  
1. Effective weed control begins by accurately identifying the weed species present so you can choose the most appropriate removal method.  
2. Mechanical control (hand‐weeding or uprooting) reduces weed pressure without harming non‐target plants or the environment.  
3. Monitoring growth rates helps you time interventions before weeds outcompete crops.  
4. Evaluating alternatives—including spot‐treatment with herbicides only if mechanical methods are insufficient—minimizes chemical use and resistance risks.",B
