question_id,prompt,answer
1,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What factors affect the price of Guntur Chilli?","# Factors Affecting Guntur Chilli Prices

The price of Guntur Chilli depends largely on seasonal production - when harvest is abundant, prices typically fall, while drought or crop damage leads to higher prices. Quality factors greatly influence value, with bright red color, uniform size, high pungency (SHU level), and low moisture content fetching premium prices. International demand, especially from China, Bangladesh, and Southeast Asian countries, significantly impacts prices as Guntur Chilli is a major export commodity. Government policies, including minimum support prices, export restrictions, or incentives can cause sudden price fluctuations. Market forces like stockpiling by traders, processing industry demand, and transportation costs affect local pricing. Weather conditions during growing, harvesting, and drying seasons directly impact quality and yield, thereby affecting prices. Storage availability and pest management in warehouses influence seasonal price variations as traders release stocks strategically."
2,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","# Vaccination Schedule for Cows

Calf vaccination should begin at 2-3 months of age for important diseases like Foot and Mouth Disease (FMD), Hemorrhagic Septicemia (HS), and Black Quarter (BQ). For female calves, Brucellosis vaccination is recommended between 4-8 months of age as a one-time vaccination. After initial vaccination, booster doses for FMD should be given every 6 months, while HS and BQ require annual boosters. Pregnant cows should receive FMD and HS-BQ vaccines during the 5th-7th month of pregnancy to ensure immunity passes to the calf. For adult cows, continue with regular 6-monthly FMD and annual HS-BQ vaccinations regardless of their age. Remember that good nutrition and deworming before vaccination improves vaccine effectiveness. Always consult your local veterinarian for a vaccination schedule tailored to your area's disease risks."
3,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What cheyyali to prevent the mango tree from rotting and falling ","# Preventing Mango Tree Rot and Fall

To prevent your mango tree from rotting and falling, first ensure good drainage around the tree by creating a slight slope away from the trunk. Avoid waterlogging by not over-irrigating, especially during monsoon season. Regularly inspect the tree trunk for wounds, oozing, or termite activity, and promptly treat any issues with appropriate fungicides or insecticides. Apply a copper-based fungicide or Bordeaux mixture to the trunk during pre-monsoon to prevent fungal infections. For existing rot, carefully scrape away the affected bark, apply copper oxychloride paste, and seal with cow dung and clay mixture. Maintain tree health through balanced fertilization - apply 1kg neem cake, 5-10kg well-rotted manure, and NPK in recommended doses annually. Finally, proper pruning to remove dead branches and maintaining good orchard sanitation by clearing fallen fruits and leaves will prevent disease spread."
4,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","# Alternatives to Cowdung as Fertilizer

I understand you're looking for alternatives to cowdung for your farm. Here are some excellent options:

1. **Compost**: You can make this at home using crop residues, kitchen waste, and fallen leaves.

2. **Vermicompost**: This is compost made with earthworms and is very rich in nutrients.

3. **Green manure**: Grow legumes like dhaincha, sunhemp, or moong, then plow them into your soil before they flower.

4. **Poultry manure**: Contains higher nitrogen than cowdung but use it after proper composting.

5. **Neem cake**: Excellent organic fertilizer that also repels pests.

6. **Biofertilizers**: Products like rhizobium, azotobacter, and PSB can improve soil fertility at low cost.

Remember to compost any manure properly before application to prevent crop burning and disease spread."
5,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","# Marigold as a Trap Crop: Benefits for Your Farm

Marigold acts as an excellent trap crop by attracting harmful pests like thrips, aphids, and whiteflies away from your main crops, reducing the need for chemical pesticides. When planted as a border around vegetable plots or intercropped between rows, marigold's strong scent and bright flowers draw insects that might otherwise damage your valuable crops. Marigold roots release compounds that control harmful nematodes (tiny worms) in the soil, making it especially useful before growing tomatoes, eggplant, okra, or other nematode-susceptible crops. The flowers also attract beneficial insects like ladybugs, hoverflies, and pollinators that help control pests and improve crop yields. After serving as a trap crop, marigold plants can be incorporated into soil as green manure, adding organic matter and improving soil health. For best results, plant marigold 3-4 weeks before your main crop or simultaneously in alternating rows, using varieties like Tagetes erecta (African marigold) or Tagetes patula (French marigold). Marigold is cost-effective and easily grown from readily available seeds, making it ideal for small farms."
6,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","# Preventing Leaf Blight in Chili

Namaste farmer, leaf blight in chili can be prevented through several practical measures. First, use disease-free seeds from reliable sources and consider resistant varieties like Punjab Lal, Pusa Jwala or Arka Lohit. Practice crop rotation by not growing chili in the same field for at least 2-3 years. Ensure proper spacing between plants (45-60 cm) to improve air circulation and reduce humidity. Water your plants at the base in the morning hours, avoiding wetting the leaves. Remove and burn infected leaves and plants immediately to prevent disease spread. Apply a neem-based solution (5% concentration) as a preventive measure every 10-15 days during the growing season. For severe infections, spray copper oxychloride (2.5g/liter of water) or mancozeb (2g/liter of water) as per recommended doses. Always maintain field hygiene and keep weeds under control as they can harbor diseases. After harvest, clear plant debris from the field to reduce overwintering of pathogens."
7,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","# Increasing Grain in Animal Diets When Green Fodder is Limited

Yes, you can increase grain quantity when green fodder is unavailable, but this must be done carefully to avoid digestive problems in your animals. Gradually increase grain portions over 7-10 days to allow the animal's rumen to adjust properly. Combine grains with available dry fodder like wheat straw, paddy straw, or crop residues to ensure adequate fiber intake. Consider adding a small amount of mineral mixture (50-100 grams daily for cattle) to compensate for minerals normally found in green fodder. Using locally available alternatives like tree leaves, azolla, or vegetable waste can help reduce your dependency on purchased feed. Adding a small quantity of jaggery water or molasses will increase palatability and energy content. Remember that sudden increases in grain can cause acidosis, bloat, or lameness, so always make feed changes slowly. For dairy animals, maintaining some roughage is essential for proper milk fat content and rumen health."
8,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","# Recognizing Milk Fever in Cows

Milk fever usually occurs within 72 hours after calving when calcium levels in the cow's blood drop suddenly. Look for these signs:

- Cow appears weak, unsteady on feet, and may have muscle tremors
- Cold ears and legs with reduced body temperature
- Cow may lie down and be unable to stand, often with head turned toward flank
- Dry muzzle and constipation
- Decreased appetite and reduced milk production

Early cases show restlessness and excitement, progressing to inability to stand if untreated. Milk fever requires immediate attention - contact your local veterinarian as soon as you notice these symptoms. This condition is most common in high-producing cows and older cows (third or later lactation)."
9,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","# Making Animal Feed at Home

Yes, you can definitely make nutritious animal feed at home using locally available ingredients, which can significantly reduce your farming costs. For cattle, goats, and poultry, you can mix crop residues (wheat straw, rice straw), agricultural by-products (rice bran, wheat bran), oilseed cakes (mustard, groundnut), kitchen waste, and green fodder from your farm. A simple cattle feed formula might include 50% roughage (straw/grass), 20% grain by-products, 20% protein sources like pulse husks or oilcakes, and 10% minerals and additives like salt and jaggery. 

For poultry, mix broken grains, kitchen scraps, crushed maize, millet, and small amounts of oilseed cake with calcium sources like crushed eggshells. Always ensure clean, dry storage of your homemade feed in covered containers to prevent mold and pest infestation. Remember that young animals, pregnant females, and milk-producing animals have higher nutritional requirements, so adjust your ingredients accordingly."
10,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","# Choosing a Suitable Cow Breed for Your Farm

Consider your main purpose first - whether you need a cow primarily for milk, draft work, or both. For dairy purposes, indigenous breeds like Gir, Sahiwal, and Red Sindhi are well-adapted to local conditions and disease-resistant, while crossbreeds like Holstein-Friesian crosses offer higher milk yields but require better management. Choose breeds that match your local climate - heat-tolerant breeds for warm regions and cold-tolerant ones for cooler areas. Consider your feed resources, as high-yielding breeds require more nutritious feed and may not perform well on poor quality fodder available in your area. Disease resistance is crucial, so local or indigenous breeds often have better immunity to regional diseases than exotic breeds. Also evaluate your management capacity honestly - some breeds need more intensive care, regular veterinary support, and better housing than others. Finally, consult your local Krishi Vigyan Kendra (KVK) or veterinarian for specific recommendations suitable for your village conditions."
11,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are some regenerative farming strategies I can try?","# Regenerative Farming Strategies for Your Farm

Namaste! Here are some effective regenerative farming strategies you can try:

1. **Practice crop rotation** by growing different crops in sequence to improve soil fertility and break pest cycles.

2. **Use cover crops** like moong, cowpea, or sunn hemp during fallow periods to protect soil, add organic matter, and fix nitrogen.

3. **Adopt minimal tillage** where possible to preserve soil structure and beneficial soil organisms.

4. **Create farm-made compost** using crop residues, cow dung, and other organic waste to build soil health without expensive inputs.

5. **Implement mulching** with crop residues or locally available materials to conserve moisture and suppress weeds.

6. **Integrate trees and crops** through agroforestry, which provides multiple benefits including shade, additional income, and soil improvement.

7. **Harvest rainwater** using simple ponds, contour bunds, or check dams appropriate for your land.

8. **Use natural pest management** like neem extracts, trap crops, and encouraging beneficial insects instead of chemical pesticides."
12,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What to do if my cows are weak?  ","# Addressing Weakness in Cows

First, ensure your cows are receiving adequate nutrition with good quality fodder (green grass, hay) and protein-rich feed like oil cakes or concentrate mix. Provide clean, fresh water at all times and add mineral mixture (50-100g daily) to address possible mineral deficiencies that often cause weakness. Check for external parasites like ticks and internal parasites (worms) which can severely weaken animals, and consult your local veterinarian for appropriate deworming medication every 3-4 months. Ensure proper shelter that protects from extreme heat and rain, with clean, dry bedding to prevent diseases. Look for signs of illness such as reduced appetite, fever, abnormal dung, or coughing, and contact your veterinarian promptly if these appear. For severely weak animals, offer easily digestible feeds like rice gruel, jaggery water, or buttermilk to boost energy while seeking professional help. Remember that prevention through regular vaccination and proper management is more effective than treating weakness after it develops."
13,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the status of milk production in India? ","# Milk Production Status in India

India is the world's largest milk producer, contributing about 23% of global milk production with an annual output of approximately 220 million tonnes. The dairy sector provides livelihood to over 80 million rural households, mostly small and marginal farmers who own 1-5 animals. The cooperative structure, pioneered by Amul and strengthened through Operation Flood (White Revolution), has transformed dairy farming into a sustainable income source for smallholders. Despite impressive volume, productivity per animal remains low at 3-4 liters/day compared to 25-30 liters in developed countries. Government schemes like Rashtriya Gokul Mission and National Dairy Plan are working to improve breed quality, animal health, and farm management. The sector faces challenges like limited access to quality feed, veterinary services, and formal credit but offers significant growth potential as domestic demand continues to rise by 4-5% annually."
