question_id,prompt,answer
1,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What factors affect the price of Guntur Chilli?","The price of Guntur Chilli depends on:  

1. **Demand** – Higher demand from domestic and international buyers increases prices.  
2. **Supply** – A large harvest lowers prices, while crop failure raises them.  
3. **Quality** – Bright red, pungent chillies fetch higher prices than discolored or low-grade ones.  
4. **Weather** – Drought or excess rain affects yield and quality, influencing prices.  
5. **Export demand** – Strong demand from countries like Bangladesh and Sri Lanka raises prices.  
6. **Market competition** – More traders buying in bulk can push prices up.  
7. **Government policies** – Export bans or subsidies can impact rates.  
8. **Storage & transport costs** – Higher costs reduce farmer profits.  

Monitor market trends and sell when demand is high for better returns."
2,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","For cows, the first vaccination (like for **Foot and Mouth Disease**) should be given at **3-4 months of age**, followed by a booster dose **4-6 weeks later**. For **Black Quarter (BQ)**, vaccinate at **6 months** with a yearly booster. **Hemorrhagic Septicemia (HS)** vaccine is given at **6 months**, repeated yearly before monsoon. Calves should receive **Brucellosis** vaccine (if female) between **4-8 months**. Always consult a veterinarian for the exact schedule, as timing may vary by disease risk in your area. Keep records for boosters!"
3,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What cheyyali to prevent the mango tree from rotting and falling ","**Answer:** To prevent mango tree rotting and falling, follow these steps:  

1. **Prune properly** – Remove dead or diseased branches to improve air circulation.  
2. **Avoid waterlogging** – Ensure good drainage around the tree to prevent root rot.  
3. **Apply fungicide** – Spray **Bordeaux mixture (1%)** or **carbendazim (0.1%)** on infected areas.  
4. **Control pests** – Treat stem borers with **neem oil** or **chlorpyrifos (as per label instructions)**.  
5. **Strengthen the trunk** – Support weak branches with ropes or poles.  

Do this before the monsoon for best results."
4,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","Cow dung is not a crop but an organic fertilizer. If you are looking for alternative **organic fertilizers** to replace cow dung, here are good options:  

1. **Compost** – Made from crop residues, kitchen waste, and leaves.  
2. **Vermicompost** – Earthworm-processed organic waste, rich in nutrients.  
3. **Green manure** – Grow and plow back crops like sunn hemp or dhaincha to enrich soil.  
4. **Poultry manure** – High in nitrogen but should be composted before use.  
5. **Farmyard manure (FYM)** – Mix of animal waste and crop residues.  

If you need alternative **cash crops**, consider legumes (pigeon pea, chickpea) or vegetables (tomato, okra) based on your soil and market demand. Test soil first for best results."
5,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","Marigold acts as an excellent trap crop by attracting harmful pests like nematodes, aphids, and whiteflies away from your main crops. Its strong scent and root secretions lure these pests, reducing damage to vegetables like tomatoes and brinjal. Once pests gather on marigold, you can remove or destroy the plants to control infestations. Marigold also repels some soil-borne diseases and improves soil health. Plant marigolds as a border or between rows for best results. Choose African marigold (*Tagetes erecta*) for nematodes and French marigold (*Tagetes patula*) for insects. Rotate marigolds every season for continuous pest control. Avoid overwatering to prevent root rot. This method is cost-effective and chemical-free.  

(10 sentences)"
6,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","To prevent leaf blight in chili, follow these steps:  

1. **Use disease-resistant varieties** if available.  
2. **Rotate crops**—avoid planting chilies in the same field for 2-3 years.  
3. **Space plants properly** (30-45 cm apart) for good airflow.  
4. **Avoid overhead watering**—use drip irrigation to keep leaves dry.  
5. **Remove infected leaves** early and burn them to stop spread.  
6. **Apply fungicides** like copper-based sprays or mancozeb (follow label instructions).  
7. **Keep fields weed-free**—weeds host disease.  
8. **Use balanced fertilizers**—excess nitrogen worsens blight.  

Early action is key—check plants weekly for spots or yellowing."
7,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","Yes, you can increase grain yield even without green fodder by focusing on key practices:  

1. **Use high-yielding, drought-resistant seed varieties** suited to your soil and climate.  
2. **Apply balanced fertilizers** (NPK) based on soil testing to ensure proper nutrient supply.  
3. **Optimize irrigation**—timely watering during critical growth stages (tillering, flowering) boosts grain production.  
4. **Control weeds and pests** to reduce competition for nutrients and water.  
5. **Practice crop rotation** (e.g., legumes after cereals) to maintain soil fertility.  

Without green fodder, prioritize grain crops and manage inputs carefully for better yields."
8,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","**Answer:** Milk fever (hypocalcemia) occurs mostly in high-yielding dairy cows around calving. Look for these signs:  

1. Weakness, trembling, or inability to stand.  
2. Cold ears and dry nose.  
3. Staggering or lying down with head turned to the side.  
4. Reduced appetite and no rumination.  

If you see these signs, call a vet immediately. Early treatment with calcium injections can save the cow. Prevent it by feeding a balanced diet with proper calcium levels before calving."
9,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","Yes, you can make high-quality animal feed at home using locally available ingredients. Common options include maize, sorghum, soybean meal, groundnut cake, rice bran, and green fodder like Napier grass or legumes. Mix grains (40%), protein sources (30%), and roughage (30%) for balanced nutrition. Fermenting or chopping improves digestibility. Avoid moldy or spoiled ingredients. For poultry, add crushed eggshells for calcium. Supplement with kitchen scraps (vegetable peels, leftover grains) to reduce costs. Always ensure clean water is available. This saves money and keeps livestock healthy."
10,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","To choose a suitable cow breed, consider these factors:  

1. **Purpose**: For milk, choose **Sahiwal, Gir, or Jersey**. For dual-purpose (milk + labor), **Ongole or Tharparkar** are good.  
2. **Climate**: **Sahiwal** and **Tharparkar** tolerate heat well, while **Holstein Friesian** suits cooler regions.  
3. **Feed Availability**: High-yielding breeds like **Jersey** need good feed; local breeds (**Red Sindhi**) manage with less.  
4. **Disease Resistance**: Indigenous breeds (**Gir, Ongole**) resist local diseases better than exotic breeds.  
5. **Cost & Maintenance**: Local breeds are cheaper to maintain than crossbred cows.  

Visit a trusted dairy farm or vet to see breeds before buying."
