question_id,prompt,answer
1,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What factors affect the price of Guntur Chilli?","Here are key factors affecting Guntur Chilli prices, farmer:

1.  **Seasonal Supply:** Prices drop during peak harvest (Feb-May) when market is flooded; they rise in off-seasons.
2.  **Quality:** Bright red color, high pungency (Capsaicin content over 0.5%), low moisture (below 10%), and freedom from pests/disease fetch top prices. Sorting matters!
3.  **Export Demand:** Strong international demand, especially for high-pungency varieties like Teja, significantly lifts prices.
4.  **Domestic Demand:** Consumption spikes during festivals and pickle-making seasons, pushing prices up.
5.  **Weather & Crop Size:** Drought, floods, or pest attacks reduce overall yield, tightening supply and increasing prices.
6.  **Arrival Quality:** Chillies damaged by unseasonal rain during harvest/drying lose color & quality, getting much lower rates.
7.  **Market Access & Competition:** Prices vary between local mandis and major hubs like Guntur; more buyers usually mean better competition.
8.  **Storage & Holding:** Farmers/traders storing good quality chillies to sell later (when supply falls) can get higher prices, but storage costs and risks exist.
9.  **Government Policies:** Export bans or incentives can suddenly change market dynamics and prices.

Focus on growing high-quality, pungent chillies with proper drying to get the best price!"
2,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","The best vaccination age depends on the specific disease:

1.  **Foot-and-Mouth Disease (FMD) and Haemorrhagic Septicaemia (HS):** Start vaccinations at **4 months of age**. Give the first booster dose **one month later**, then follow with **annual boosters**.
2.  **Black Quarter (BQ):** Vaccinate calves from **about 6 months of age**, followed by an **annual booster**.
3.  **Brucellosis (especially for female calves/heifers):** Vaccinate heifer calves only once, ideally **between 4 and 8 months of age**, using the RB51 vaccine.
4.  Always allow calves to consume good quality **colostrum** immediately after birth for early disease protection.
5.  **Consult your local veterinarian** for the exact timing and specific vaccine brands best suited for diseases common in your area."
3,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What cheyyali to prevent the mango tree from rotting and falling ","To prevent mango fruit rot and premature dropping, follow these key steps:

1.  **Prune for Air & Light:** Immediately prune overcrowded branches to improve sunlight penetration and air circulation within the canopy, reducing humidity where fungus thrives.
2.  **Remove Infected Material:** Collect and destroy (burn or bury deeply) all fallen leaves, twigs, and rotten fruits from under the tree regularly - do not compost.
3.  **Spray Preventative Fungicide:** Spray Copper Oxychloride (3 grams per liter of water) or Bordeaux mixture (1%) **three times**: at flowering start, when fruits are pea-sized, and again 2-3 weeks before expected harvest. Cover the entire tree thoroughly.
4.  **Avoid Tree Overload:** Thin excess fruits when they are marble-sized, leaving only 1-2 healthy fruits per panicle to reduce stress and improve fruit size/quality.
5.  **Handle Harvest Gently:** Pick fruits carefully with the stalk intact to avoid wounds; never let harvested fruits touch the soil.
6.  **Store Properly:** Keep harvested mangoes in a clean, dry, shaded, and well-ventilated area.

**Key:** Consistent sanitation and timely fungicide sprays before infection takes hold are crucial."
4,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","Here are good alternatives to cowdung for fertilizing your soil:

1.  **Compost:** Make rich compost using your crop residues (like stalks, leaves), kitchen scraps, and dried leaves. It improves soil structure and nutrients.
2.  **Vermicompost:** This is compost made by earthworms eating organic waste. It's very rich and excellent for plants.
3.  **Green Manure Crops:** Grow plants like sunn hemp (सन्न), dhaincha (ढैंचा), or cowpea (लोबिया) and plow them back into the soil before they flower. They add nitrogen and organic matter.
4.  **Biofertilizers:** Use products like Rhizobium for pulses or Azotobacter/Azospirillum for cereals. These contain live microbes that help plants get nutrients from the air or soil.
5.  **Poultry Manure:** Chicken droppings are rich in nutrients, especially nitrogen, but must be well-composted first to avoid burning plants.
6.  **Oil Cakes:** Leftover cakes after oil extraction from neem (नीम), castor (अरंडी), or mustard (सरसों) provide nutrients slowly as they decompose.

Combine these methods for the best soil health and plant growth. Start with compost or green manure as they are often easiest."
5,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","Marigold acts as an excellent trap crop primarily against **nematodes** (microscopic soil pests) and certain **insects** like aphids and whiteflies. Here are its key effects:

1.  **Attracts Pests:** Marigold roots release chemicals that lure harmful root-knot nematodes away from valuable crops like tomatoes or eggplants.
2.  **Traps & Kills Nematodes:** Once nematodes enter marigold roots, they get trapped and cannot reproduce, reducing their numbers in the soil for the next season.
3.  **Lures Insects:** Its strong scent and flowers attract aphids, thrips, and whiteflies, pulling them away from nearby main crops.
4.  **Reduces Main Crop Damage:** By attracting pests to itself, marigold significantly lowers pest damage and yield loss in your primary cash crops.
5.  **Lowers Pesticide Need:** Effective trap cropping means you often need fewer chemical sprays on your main crop, saving cost and being safer.
6.  **Needs Sacrifice:** Remember, the marigold plants *will* be heavily infested or damaged – this is how they protect the main crop. Destroy these plants after harvest.
7.  **Plant Correctly:** For best effect, plant marigolds as a border or in alternating rows *before* or alongside your main crop, ensuring pests find them first.
8.  **Not Perfect:** While very good against nematodes and some insects, marigold won't control all pests (like fruit borers) and needs combining with other practices.

Use marigold trap cropping as a smart part of your overall pest management strategy."
6,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","Here's how to prevent leaf blight in your chili crop:

1.  **Choose Resistant Varieties:** Plant chili varieties known to have tolerance or resistance to leaf blight diseases when available (e.g., Pusa Jwala, Pant C1).
2.  **Ensure Good Spacing:** Space plants widely (typically 45-60 cm apart) for better airflow to dry leaves faster.
3.  **Water Carefully:** Water only at the base of the plants (drip irrigation is best) and avoid wetting the leaves; water early in the morning so leaves dry quickly.
4.  **Keep the Field Clean:** Remove and destroy any infected plant debris or severely diseased plants immediately – do not compost them.
5.  **Avoid Overhead Watering:** Sprinklers splash soil and disease onto leaves; use drip or furrow irrigation instead.
6.  **Practice Crop Rotation:** Don't plant chilies or other solanaceous crops (tomato, brinjal, potato) in the same field year after year; rotate with cereals or legumes.
7.  **Apply Preventative Sprays:** Spray well before disease appears or at first sign. Use organic options like **1% Bordeaux mixture** or **Neem oil extract** regularly (every 7-10 days), especially during wet weather. Follow label instructions carefully.
8.  **Avoid Excess Nitrogen:** Too much nitrogen fertilizer makes plants lush and more susceptible; use balanced fertilizers."
7,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","Yes, you can increase grain quantity even without green fodder. Grain yield primarily depends on **sunlight, water, and soil nutrients** reaching the crop. While green fodder provides valuable manure for soil health, its absence doesn't stop grain production. 

Focus on these alternatives to boost soil fertility and grain yield:
1.  **Apply well-decomposed farmyard manure (FYM)** from existing livestock like desi cows or buffalo.
2.  Use **vermicompost** or **poultry manure** if available.
3.  Apply balanced chemical fertilizers (NPK) based on a **soil test** recommendation for your specific crop and field.
4.  Practice **crop residue management** – incorporate leftover stalks/roots after harvest to add organic matter.
5.  Consider **green manuring** by growing and ploughing in short-duration legumes like *Sesbania* or *Dhaincha* between main grain crops.

Managing soil health through these methods will directly support higher grain yields."
8,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","Here's how to recognize milk fever in your cow:

1.  **Timing:** Watch closely **within 1-3 days after calving**, especially in high-milking cows.
2.  **Early Signs:** She may seem weak, wobbly while walking, shaky (muscle tremors), restless, and eat less or stop eating.
3.  **Downer Cow:** The clearest sign is her **collapsing and being unable to stand up**; she may lie flat on her side.
4.  **Cold Ears/Head:** Feel her ears and head - they will often feel unusually **cold**.
5.  **Body Temperature:** Her body temperature will be **lower than normal**.
6.  **Neck Position:** Her head may be **curved back towards her flank** (like an ""S"" shape) when she's lying down.
7.  **Dry Nose/Mouth:** Look for a dry nose and mouth, and dull, staring eyes.
8.  **Urgent:** If you see these signs, especially collapsing and coldness, it is **MILK FEVER - treat it as an emergency.** Contact your veterinarian immediately."
9,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","Yes, absolutely! You can make good quality animal feed right at home using crops and byproducts from your farm. Common ingredients include maize or sorghum grains (for energy), wheat bran or rice polish (choker), and protein sources like soybean meal, groundnut cake (khalli), or de-oiled cakes (chuni). 

You need to grind the grains for better digestion. Some ingredients, like raw soybeans, need light roasting first to remove anti-nutrients. Mix these components well to create a balanced feed. 

Include a mineral mixture and a little salt for essential nutrients. Store the prepared feed in a cool, dry place in airtight containers (like drums) to keep insects and moisture out. Making feed yourself saves money and uses your farm resources well. For the best mix for your animals (like chickens, cows, or goats), ask your local Krishi Vigyan Kendra (KVK) or animal husbandry officer for a simple recipe."
10,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","To choose the best cow breed for your farm, consider these key factors:

1.  **Climate:** Pick breeds naturally suited to your area's heat and humidity, like **Sahiwal** (excellent heat tolerance), **Gir** (good for humid regions), or **Tharparkar** (drier areas).
2.  **Milk Purpose:** Decide if you need high daily milk yield (consider **HF crossbreeds** like Holstein Friesian crosses) or milk with higher fat for products like ghee (indigenous breeds like **Red Sindhi** or **Gir** are better).
3.  **Feed Availability:** High-yielding crossbreeds need much more quality green fodder and concentrates; indigenous breeds manage better on local grasses and crop residues if feed is limited.
4.  **Disease Resistance:** Indigenous breeds (**Sahiwal, Gir, Tharparkar, Red Sindhi**) generally resist local diseases and parasites better than exotic crossbreeds.
5.  **Budget & Care:** Crossbreeds cost more initially and need stricter veterinary care; indigenous breeds are often hardier and cheaper to maintain.
6.  **Purpose:** If you also need draft power, consider dual-purpose breeds like **Ongole**.

**Talk to your local veterinarian or Krishi Vigyan Kendra (KVK) experts** – they know which breeds perform best *specifically in your village* and can advise on availability."
