question_id,prompt,answer
1,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What factors affect the price of Guntur Chilli?","Namaste! Several important things decide the price you get for your Guntur chillies.

First, the total amount of chilli harvested in our Guntur region and other major chilli-growing areas is a big factor. If the overall harvest is large across the country, prices might be lower; if it's small due to poor weather or pest attacks, prices often rise. The quality of your chillies is very important: good bright red colour, less moisture, and fewer broken or damaged pieces will fetch you a better rate. Export demand also plays a very big role; if international buyers want more Guntur chillies, prices here will usually increase. The amount of old stock held by traders can also influence new season prices. Finally, how much chilli is arriving daily at the local market (mandi) when you go to sell also affects the day's price."
2,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","Namaste! Protecting your cows with vaccinations is a very wise decision.

Generally, calves should receive their first set of vaccinations between 4 to 6 months of age for common diseases like Foot and Mouth Disease (FMD), Haemorrhagic Septicaemia (HS), and Black Quarter (BQ). However, some specific vaccines, like the one for Brucellosis in female calves, are often given between 4 to 8 months of age. Remember that booster doses will be needed later as advised. Adult cows also require regular annual or bi-annual booster vaccinations for diseases like FMD.

The most important thing is to consult your local animal doctor (pashu chikitsak). They know the specific diseases prevalent in our area and will give you the exact, most suitable vaccination schedule for your calves and adult cows. Following their advice will keep your animals healthy and productive."
3,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What cheyyali to prevent the mango tree from rotting and falling ","Namaste! To prevent your mango tree from rotting and falling, we need to focus on a few key things.

1.  Ensure good drainage around the tree's base; water must not collect there, especially during rains.
2.  Regularly prune any dead, diseased, or overcrowded branches to improve air circulation and sunlight.
3.  Burn or bury these pruned parts far away from healthy trees to prevent disease spread.
4.  Keep the area around the trunk clean of weeds and fallen leaves, as these can harbor pests and diseases.
5.  If you see any wounds or oozing sap on the trunk, clean the area and apply a Bordeaux paste or a copper-based fungicide paste.
6.  Inspect the tree for borer holes (which look like small holes with powder coming out) or fungal growths like mushrooms at the base.
7.  Provide good nutrition with well-rotted farmyard manure or recommended fertilizers to keep the tree strong and resistant.
8.  Avoid injuring the tree trunk or roots during cultivation.
9.  If the problem is severe or you see large mushrooms (Ganoderma) at the base, the tree might be heavily infected.
10. In such advanced cases, or if you are unsure, please contact your local agricultural officer for specific advice."
4,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","Namaste! It seems there might be a small misunderstanding. Cowdung itself is not a crop, but rather a very valuable organic manure that helps crops grow well by improving your soil.

If you're looking for alternatives to cowdung to enrich your soil, there are several good options.
1.  You can make **compost** from farm waste like leftover stalks, leaves, and kitchen scraps.
2.  Growing **green manure crops** like dhaincha (sesbania), sunnhemp, or legumes and then ploughing them into the soil before they flower also adds a lot of organic matter and nutrients.
3.  **Vermicompost**, made using earthworms, is another excellent and nutrient-rich option.
4.  Farmyard manure from other animals like goats or poultry can also be used.
5.  Using **biofertilizers** like Rhizobium or Azotobacter can also help improve soil fertility and plant growth.

These alternatives will help keep your soil healthy and productive, much like cowdung does."
5,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","Namaste! Marigolds are very useful as a trap crop.
Their biggest effect is in the soil, where their roots release substances that reduce harmful nematodes, like root-knot nematodes. This protects the roots of your main crops, such as tomatoes, chillies, or brinjals, leading to healthier plants and better yields.
Above ground, marigolds can attract certain pests, such as some types of thrips, aphids, or fruit borers, drawing them away from your valuable crops. These pests might lay their eggs or feed on the marigolds instead of your main harvest.
This means fewer pests attack your main crop. Planting marigolds around your fields or between rows of your main crop is a good strategy. They can also attract beneficial insects that help with pollination and natural pest control. It's a good, low-cost way to manage some difficult pests. Remember to choose the right marigold variety for the best effect."
6,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","Namaste! To prevent leaf blight in your chili, start by choosing disease-resistant seeds if you can get them.
Treat your seeds with a fungicide like Trichoderma or Captan before sowing.
When planting, give your plants enough space for good air movement between them.
Always water at the base of the plant in the morning, trying to keep the leaves as dry as possible.
Remove and burn any infected leaves or plants immediately to stop the disease from spreading.
Avoid planting chilies, tomatoes, or brinjal (eggplant) in the same spot for at least 2-3 years; rotate your crops.
Keep your plants strong with balanced manure or fertilizer, as healthy plants resist diseases better.
If blight is common in your area, you can spray a copper-based fungicide or Mancozeb as a preventive measure, especially before the rains arrive.
Always follow the instructions on the product label if you use any fungicide."
7,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","Namaste! Yes, you can certainly increase your grain quantity even if green fodder is not available for your animals or for green manuring.

The main thing your crop needs for good yield is fertile soil with enough nutrients. You can improve soil fertility by adding well-decomposed farmyard manure (gobar ki khaad) or compost. Using the right amount of chemical fertilizers, like urea, DAP, and potash, based on a soil test, will also directly feed your crop. Choosing high-yielding seed varieties and ensuring timely water supply are crucial. Proper weed and pest control will further help protect your potential yield. So, focus on these practices, and you can achieve a good harvest."
8,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","Namaste. Milk fever usually happens very close to when your cow gives birth, often within 1 to 3 days after calving.
Look for early signs like weakness, staggering, or loss of appetite.
As it progresses, she will likely lie down and be unable to stand up.
Her ears and body might feel cold to the touch.
You might also see her tuck her head into her side, almost looking at her flank.
She may also seem dull and less responsive.
If you notice these signs around calving time, call your veterinarian immediately.
Quick treatment is very important for her recovery."
9,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","Namaste! Yes, you can certainly make animal feed at home. Many farmers do this using locally available ingredients like maize, jowar, oil cakes (like groundnut or mustard cake), and rice or wheat bran. You'll need to grind these ingredients and mix them thoroughly.

However, it's very important that the feed is balanced with the right amount of protein, energy, vitamins, and minerals for your specific animals – whether cattle, goats, or poultry. An imbalanced feed can affect their health and productivity. Also, ensure you store the homemade feed properly in a dry place to prevent spoilage. It's best to consult your local veterinary doctor or us at the extension office for specific recipes and guidance on balancing the ration for your animals."
10,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","Namaste! Choosing the right cow depends on your main need. First, decide if you need the cow primarily for milk, for farm work (draught), or for both.
Indigenous breeds like Gir or Sahiwal are excellent for milk and are hardy for our Indian conditions. If you need strong animals for ploughing, consider breeds like Hallikar or Kangayam, depending on your region.
Crossbred cows (like Jersey or Holstein crosses) can give more milk, but they require more feed and better management.
Always consider your local climate and how much good quality feed you can provide. Native breeds are often more resistant to local diseases and can thrive on available fodder. It's also wise to observe what breeds are doing well for other farmers in your area.
Consult your local veterinary officer or Krishi Vigyan Kendra (KVK) for advice specific to your village. They can help you make the best choice for your farm."
