question_id,prompt,answer
1,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What factors affect the price of Guntur Chilli?","The price of Guntur Chilli mostly depends on supply and demand in both local and export markets. When there is a bumper harvest and more chillies available, prices usually go down. If heavy rains or pests reduce yields, supplies shrink, and prices can rise. Harvest and post-harvest costs like labor, drying, and grading also affect the final price you get. Export demand from places like the Middle East or Europe can make prices go higher. High-quality chillies with good color, pungency, and cleanliness usually fetch a better rate. Sometimes, government policies such as minimum support prices also influence chilli prices."
2,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","Calves should generally start receiving vaccinations from around four to six months of age, once they can adequately respond to vaccines. Consult your local veterinarian or extension officer for a recommended vaccination schedule specific to your area. The main vaccines commonly recommended in India include those for foot-and-mouth disease, hemorrhagic septicaemia, black quarter, and brucellosis. For foot-and-mouth disease, start at four to six months old, then repeat every six months. For hemorrhagic septicaemia and black quarter, begin at six months and follow up with an annual booster. In female calves, brucellosis vaccination is often given between four and eight months of age. Booster shots may be needed after the first course to keep immunity strong, so keep a clear record of timings. Also, remember that vaccinating mother cows on time helps protect newborn calves through the colostrum."
3,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What cheyyali to prevent the mango tree from rotting and falling ","1. Ensure the soil around the mango tree drains well by avoiding overwatering and improving water channels.  
2. Remove and burn any dead or infected branches to stop the spread of rot.  
3. Scrape off any rotting bark from the trunk carefully and apply a recommended copper-based fungicide or Bordeaux mixture.  
4. Maintain proper orchard sanitation by clearing fallen leaves, fruits, and debris.  
5. Mulch around the base to keep soil moisture balanced but avoid piling mulch directly against the trunk.  
6. Provide balanced nutrients, especially nitrogen, phosphorus, and potassium, through compost or well-rotted farmyard manure.  
7. Check the soil pH and correct it if needed, as mango trees prefer slightly acidic to neutral conditions.  
8. Monitor the tree regularly for signs of fungal infections or pests and act immediately if you see symptoms.  "
4,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","You can use green manure crops like sunhemp or dhaincha to enrich the soil with nitrogen.  
Crop residues and farm waste can be composted to create a good organic fertilizer.  
Vermicompost, made from earthworms digesting organic matter, provides nutrients and improves soil structure.  
If you keep poultry, their manure is another rich nutrient source.  
Other livestock manures (like goat or sheep) can also be used instead of cowdung.  
Biofertilizers, such as rhizobium for legumes, help increase nutrient availability to crops.  
Some farmers also use fish emulsion or seaweed extract for added nutrients.  
Always ensure proper composting or decomposition to avoid pests and diseases in your field.  "
5,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","Marigold can help attract and trap pests like nematodes and certain insects, keeping them away from your main crop.  
Its roots release chemicals that can reduce soil nematode populations, which helps protect crops such as tomatoes or peppers.  
The bright flowers also attract beneficial insects that can feed on harmful pests.  
Growing marigold as a border or between crop rows can interrupt pest movement and lower pest pressure.  
After the marigold has done its job, remove and destroy the plants to prevent pests from spreading back to your main crop.  "
6,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","Leaf blight in chili is typically caused by fungal pathogens such as Colletotrichum or Alternaria.  
To prevent it, start by using certified seeds or disease-resistant varieties.  
Practice crop rotation with non-chili crops to reduce pathogen buildup in the soil.  
Make sure your plants have enough space between them to allow good air movement.  
Avoid overhead irrigation, since wet leaves help the fungus spread.  
Remove and destroy infected leaves or plants as soon as you notice any symptoms.  
Use recommended fungicides such as copper-based or mancozeb-based sprays, strictly following label instructions.  
Keep your field clean and free of plant debris to limit future infections.  "
7,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","Yes, it is possible to increase grain yield without green fodder, but you need to ensure proper soil fertility and balanced nutrition. You can replace green fodder with other organic materials like compost, crop residues, or well-decomposed farmyard manure to maintain soil health. Adding the right combination of chemical fertilizers, such as nitrogen, phosphorus, and potassium, also supports healthy plant growth. Ensure timely planting, weed control, and water management to reduce competition for nutrients. If you have animals, use their manure efficiently to enrich the soil and boost grain production. Incorporate crop rotation and select suitable, high-yielding varieties that perform well under local conditions. When possible, conduct a soil test to understand nutrient requirements and apply fertilizers accordingly. Proper pest and disease control will further prevent yield losses."
8,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","Milk fever usually occurs in cows right after calving, when their calcium levels drop suddenly. Watch for early signs like the cow being weak, unsteady on her feet, and losing interest in feed. A common symptom is muscle trembling or shaking, especially in the limbs. Sometimes the cow’s ears feel cold, and she may become dull or drowsy. As the condition worsens, she may not be able to stand at all and can collapse. Her heart rate may become faster or irregular. Prompt veterinary treatment with calcium is crucial to prevent serious complications."
9,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","Yes, you can make animal feed at home by combining locally available ingredients. Start with cereals like maize or millet and add protein sources like soybean cake or groundnut cake. Include a vitamin-mineral premix or at least common salt to balance nutrition. Thorough mixing and grinding ensure each animal gets the right nutrients in every bite. Store the feed in a clean, dry place to prevent spoilage and mold. Keep an eye on animal health, weight gain, and milk or egg production to see if you need to adjust the formula. Homemade feed can help reduce costs but requires careful oversight. If unsure, seek advice from an agricultural extension agent or veterinarian."
10,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","First, decide whether you want a cow primarily for milk or for both milk and draft purposes. Then, look for breeds that perform well in your local climate and have natural disease resistance, such as Sahiwal, Gir, or Red Sindhi. Consider your feed availability, because heavier exotic breeds like Holstein Friesian or Jersey crosses need more and higher-quality fodder. Check the average milk yield and fat content of each breed, as this affects your income from selling milk. Ask neighbors or local extension officers about the success rate of various breeds in your area. Make sure you select a healthy animal with a clear vaccination record. Also, choose a supplier with a good reputation to reduce the risk of hidden health problems. Finally, inspect the physical features: bright eyes, healthy coat, strong legs, and a well-developed udder. A veterinarian’s advice can help confirm your decision."
11,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are some regenerative farming strategies I can try?","Grow cover crops like legumes to protect your soil and add nitrogen. Rotate different crops (such as cereals, pulses, and oilseeds) to break pest cycles and maintain fertility. Reduce tillage or practice no-till to preserve soil structure and encourage beneficial organisms. Apply organic fertilizers like compost or farmyard manure to improve soil health and boost crop yields. Mulch with crop residues or straw to conserve moisture, suppress weeds, and enrich the soil. Plant native trees or hedgerows around your fields to enhance biodiversity and protect against wind erosion. Practice integrated pest management by relying on natural predators, biopesticides, and regular pest monitoring. Conserve water with drip irrigation or by building farm ponds to store rainwater."
