question_id,prompt,answer
1,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What factors affect the price of Guntur Chilli?","1. Quality of Guntur chillies (bright deep-red colour, uniform size and high pungency) is the first thing buyers check.  
2. Moisture content should be around 10–12%; too much or too little moisture lowers your price.  
3. Improved varieties like Guntur Sannam, Teja or Vaibhav usually fetch higher rates than common local types.  
4. Seasonal supply affects prices—when many farmers bring ripe chillies to market at the same time, rates often drop.  
5. Stocks in cold storage and arrivals from other chilli‐growing states also influence mandi prices.  
6. Strong demand from domestic chilli‐powder mills and export buyers (for example Sri Lanka, Bangladesh) pushes prices up.  
7. Transportation, packaging, handling and market (APMC) fees are added costs that can reduce your net price.  
8. Government policies—such as export duties, minimum support price (MSP) and mandi commission charges—affect the price you receive.  
9. Finally, price trends on national commodity exchanges and daily mandi bulletins help set local benchmark rates."
2,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","1. Calves receive protective antibodies from their mother’s colostrum until about 3 months of age, so it is best to begin vaccinations after this period.  
2. Give the first dose of Hemorrhagic Septicemia (HS) and Black Quarter (BQ) vaccine at 3 months of age, repeat a booster 4 weeks later, then revaccinate yearly.  
3. For Foot‐and‐Mouth Disease (FMD), administer the first shot at 6 months, give a booster after 4–6 months, then vaccinate every 6 months as per local guidelines.  
4. If brucellosis is a concern in your area, vaccinate heifers with S19 vaccine between 4 and 8 months of age (only once).  
5. In areas where rabies occurs, you can give the first rabies vaccine at 3 months, then boost annually.  
6. Always follow the vaccination schedule advised by your local veterinarian or animal husbandry department."
3,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What cheyyali to prevent the mango tree from rotting and falling ","1. Field lo water stagnate avvakunda drainage channels cheyyandi.  
2. Waterlogged soil unna trees ni raised beds mida planchandi.  
3. Prati tree ki 5–10 kg compost mariyu 500 g neem cake per year spread cheyyandi.  
4. Balanced fertilizers ivvandi: 200 g urea, 250 g SSP, 200 g MOP per tree.  
5. Karri guchukuni disease unna branches ni kaattukoni burn cheyyandi.  
6. Trunk base meeda 1% Bordeaux paste apply cheyyandi.  
7. Soil drench cheyyandi: carbendazim 2 g per liter drench 2–3 times a year.  
8. Young trees ki stake ivvandi, windbreak pettandi.  
9. Regular ga chusi pests mariyu diseases ni early stage lo control cheyyandi."
4,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","Here are some good organic alternatives to cow dung manure:  
1. Vermicompost – made by earthworms breaking down kitchen and farm wastes. It is rich in nutrients and improves soil structure.  
2. Poultry manure – high in nitrogen and fast-acting, but it must be well-composted to avoid burning plants.  
3. Green‐manure crops – such as sun hemp, dhaincha or cowpea; these are grown and plowed back into the soil to add organic matter and nutrients.  
4. Compost – a mix of crop residues, leaves, vegetable peelings and other plant waste fully decomposed; it balances soil nutrients and helps water retention.  
5. Farmyard manure from other animals – goat, sheep or rabbit manure also work well when properly composted.  
6. Biogas slurry – the residue left after biogas production is a balanced, ready-to-use fertilizer.  
7. Neem cake or groundnut cake – oilseed cakes are good sources of nitrogen and also help control soil pests.  

Always ensure any manure is well-decomposed before applying to avoid harming your crops."
5,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","1. Marigold planted alongside or around your main crop draws pests such as aphids, whiteflies and beetles away from vegetables.  
2. Its roots release a natural chemical (α-terthienyl) that suppresses root-knot nematodes in the soil.  
3. By attracting above-ground pests and reducing below-ground nematodes, marigold lowers overall pest pressure.  
4. Fewer pests mean less crop damage and often higher yields in your cash crop.  
5. Sow marigold in strips or patches at field edges or between rows for best trap-crop effect.  
6. Pull or mow marigolds before they set seed to prevent volunteer plants next season.  
7. This practice is low-cost, chemical-free and fits well into crop rotation on small farms."
6,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","Leaf blight in chili is caused by fungi like Alternaria and Phytophthora.  
Use disease-free seeds or resistant varieties.  
Practice crop rotation with non-host crops for at least two years.  
Keep plant spacing around 50 cm to improve air flow and reduce humidity.  
Remove and burn infected leaves and any nearby weeds.  
Irrigate in the morning by drip or furrow so foliage dries quickly.  
Spray copper oxychloride or mancozeb every 10–14 days, especially before and during the monsoon.  
Apply balanced fertilizer—avoid excess nitrogen, which encourages disease.  
Inspect your field weekly and treat at the first sign of spotting."
7,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","Yes, you can still increase grain yields even if you do not have your own green fodder, but you will need to replace the soil-building and nutrient benefits that green fodder normally provides. 1. Apply well-decomposed farmyard manure, vermicompost or compost at 5–10 tonnes per hectare to build soil organic matter. 2. Grow a short-duration legume green manure (for example, sunn hemp or dhaincha) on fallow land or as an intercrop, then plough it under before flowering. 3. Use biofertilisers such as Rhizobium (for pulses) and Azospirillum (for cereals) to improve nitrogen availability. 4. Follow a balanced fertilizer schedule based on a recent soil test—don’t overuse nitrogen alone; include phosphorus, potassium and sulphur. 5. Add micronutrients (zinc, boron, iron) if your soil test shows deficiencies. 6. Maintain good weed, pest and disease control and ensure adequate irrigation at critical growth stages (tillering, flowering and grain-fill). 7. Finally, choose high-yielding, locally adapted grain varieties and follow recommended spacing and planting time. By combining these practices you can achieve good grain yields even without on-farm green fodder."
8,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","Milk fever usually appears in high-yielding cows within 48 hours after calving. At first you may see trembling muscles, shaky walk, restlessness or sensitivity to noise. Next the cow becomes wobbly, holds her neck in an “S” shape, and may lie down in a sternal (stern-up) position but cannot rise easily. If untreated she will slip into full recumbency (lying on her side), become dull, have cold ears and limbs, a dry muzzle, and a slow, weak heartbeat. Body temperature often drops below normal. Early treatment with calcium salts by a veterinarian brings the best recovery."
9,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","Yes, you can prepare good-quality feed at home by mixing locally available ingredients. For example, combine 60% energy sources (broken rice, maize grain or rice/wheat bran), 25% protein sources (oilseed cakes such as groundnut, mustard or soybean cake), 10% roughage (pulse straw, gram husk or chopped forage) and 5% mineral–vitamin mix or plain salt with bone meal or limestone. Chop or crush all ingredients to a coarse, even size, dry them to about 10–12% moisture, then blend well. Offer the mix fresh in clean troughs according to each animal’s age and weight. Store the prepared feed in a dry, cool place and use it within 3–4 weeks to prevent spoilage. Always avoid moldy or poisonous plants, and adjust proportions based on animal performance or advice from your local livestock officer."
10,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","1. First decide your main goal: milk, draught power or dual purpose (milk plus work).  
2. Check your climate and farm resources—high-yielding exotic breeds need more good-quality feed and cooler temperatures, while indigenous breeds tolerate heat and low-quality feed better.  
3. If you want high milk yield and can afford more concentrate and good housing, consider crossbreds of Holstein Friesian or Jersey with local cows.  
4. For lower input costs, better disease resistance and heat tolerance, choose Indian breeds like Gir, Sahiwal or Red Sindhi.  
5. Visit your nearest veterinary or livestock development office to see animals and ask about local performance records.  
6. Ask farmers in your area about health problems, milk yield and feed costs they face with different breeds.  
7. Make sure you can provide the recommended vaccination, deworming and regular veterinary check-ups.  
8. Balance your budget: remember higher-yield breeds bring more income but need more investment in feed and care.  
9. Finally, buy from a reliable breeder or government dairy farm to ensure the animal’s pedigree and health certificates."
11,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are some regenerative farming strategies I can try?","1. Rotate your main crops with legumes (like pigeon pea or green gram) to fix nitrogen and break pest cycles.  
2. Practice intercropping – for example, sow maize with groundnut or cowpea – to use sunlight and soil nutrients more fully.  
3. Grow cover crops (such as sunn hemp or cowpea) in fallow periods and then plow them in as green manure to boost soil organic matter.  
4. Apply compost or vermicompost made from farm residues and animal dung to feed soil microbes and improve soil structure.  
5. Use reduced or zero tillage and keep crop residues on the field surface as mulch to conserve moisture and prevent erosion.  
6. Introduce agroforestry by planting nitrogen-fixing trees (like Faidherbia albida) along field boundaries for shade, fodder, and leaf litter.  
7. Inoculate seeds with biofertilizers (Rhizobium for legumes, Azotobacter for cereals) to enhance biological nitrogen fixation.  
8. Employ contour bunding or graded furrows on sloping land to slow water runoff and increase water infiltration.  
9. Scout fields regularly and use biocontrol (Trichoderma, neem oil sprays) to manage pests instead of synthetic chemicals."
12,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What to do if my cows are weak?  ","1. Check their diet: offer fresh, clean fodder (green grass or good-quality silage) plus a balanced concentrate mix rich in protein and energy.  
2. Ensure plenty of clean drinking water is always available.  
3. Provide a mineral–vitamin block or salt lick to meet micronutrient needs.  
4. Keep barns and resting areas dry, clean, and well-ventilated to reduce stress and infections.  
5. Observe each cow for signs of illness (fever, cough, diarrhea, eye or nasal discharge).  
6. Deworm regularly (as per your local veterinary schedule) and keep vaccinations up to date.  
7. Isolate any weak or sick cows to prevent disease spread and allow them easy access to feed and water.  
8. If weakness persists after improving nutrition and hygiene, call a veterinarian for a health check and possible blood tests."
