question_id,prompt,answer
1,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","# Appropriate Vaccination Ages for Cattle

The vaccination of cattle begins from an early age and follows a specific schedule throughout their life. Calves should receive their first vaccinations at around 4-8 weeks of age, including protection against diseases like Black Quarter and Anthrax. East Coast Fever (ECF) vaccination is typically given to calves aged 1-3 months. At 4-6 months, calves should be vaccinated against Foot and Mouth Disease (FMD) and Lumpy Skin Disease. For brucellosis, female calves should be vaccinated once between 4-8 months of age. Adult cows need regular booster vaccinations - FMD every 6 months, Anthrax and Black Quarter annually, and Lumpy Skin Disease annually before the rainy season. Remember that vaccination needs may vary based on your specific region in Kenya, so consult your local veterinary officer for a customized vaccination calendar. Maintaining proper vaccination records will help you track when the next vaccinations are due."
2,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What should I do to prevent the mango tree from rotting and falling ","# Preventing Mango Tree Rot and Falling

To prevent your mango tree from rotting and falling, ensure it has good drainage by planting on raised ground or making drainage channels to prevent waterlogging, which causes root rot. Prune your tree regularly, removing dead or diseased branches to improve air circulation and reduce fungal infections, especially during rainy seasons. Apply copper-based fungicides before the rainy season to protect against anthracnose and other fungal diseases common in Kenya. Maintain a clean area around the tree by clearing fallen leaves and fruits that can harbor pests and diseases. Avoid injuring the trunk when cultivating around the tree, as wounds provide entry points for disease-causing organisms. Apply balanced fertilizer (like NPK 17:17:17) at the recommended rates to strengthen the tree's natural defenses. For established trees showing signs of trunk rot, scrape away the diseased area, apply copper fungicide to the wound, and seal with tree wound dressing. Water consistently during dry seasons but avoid overwatering which encourages rot."
3,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","# Alternative Organic Fertilizers to Cow Manure

I notice you're asking about alternatives to cow manure, which is not a crop but a natural fertilizer. Here are excellent alternatives for Kenyan smallholder farmers:

1. **Compost** - Made from kitchen scraps, crop residues, and plant materials decomposed in a pile or pit.

2. **Chicken manure** - Higher in nutrients than cow manure, but use it after composting to prevent burning plants.

3. **Goat and sheep manure** - Contains good nutrient levels and can be applied directly to soil.

4. **Green manure** - Grow legumes like lablab, mucuna, or desmodium, then plow them into the soil before they flower.

5. **Wood ash** - Good source of potassium and helps reduce soil acidity.

6. **Crop residues** - Leave maize stalks, bean residues, and other plant materials in the field to decompose.

For best results, combine several of these methods to improve your soil fertility over time."
4,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","# Marigold as a Trap Crop

Marigold plants work effectively as trap crops by attracting harmful pests away from your main crops. When planted around your vegetable garden, especially around tomatoes, cabbages, and kale, marigolds release a strong scent that repels pests like aphids, whiteflies, and thrips. They are particularly useful in controlling root-knot nematodes, as marigold roots release chemicals that kill these harmful soil pests. Additionally, marigold flowers attract beneficial insects like bees, hoverflies, and ladybugs that help with pollination and pest control. For best results, plant marigolds as a border around your crops or intercrop them every 2-3 meters within rows. French marigold varieties (the smaller ones) work best for nematode control, while African marigolds (larger flowers) are better for attracting beneficial insects. The effects usually take 3-4 weeks to become noticeable, so plant marigolds early, preferably 2 weeks before your main crop."
5,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","# Preventing Leaf Blight in Chili Plants

To prevent leaf blight in your chili crop, start by practicing crop rotation - don't plant chili in the same area for consecutive seasons. Use certified disease-free seeds and maintain proper spacing between plants (about 60cm) to improve air circulation. Water your plants at the base rather than from above to keep leaves dry, as wet leaves encourage blight. Remove and burn any infected leaves or plants immediately to prevent spread. Apply a thick layer of mulch around plants to prevent soil splash onto leaves during rain. For established infections, apply copper-based fungicides like Kocide according to instructions, especially before the rainy season starts. Maintain balanced fertilization as healthy plants resist disease better. Consider planting resistant chili varieties like 'Serrano' or 'Thai Hot' which show better tolerance to leaf blight in Kenya."
6,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","# Increasing Grain Quantity Without Green Fodder

Yes, you can increase grain quantity even without green fodder by focusing on other farming practices. Apply well-decomposed manure or quality fertilizers according to soil test recommendations to ensure your crops get necessary nutrients. Practice good weed management to reduce competition for water and nutrients in your field. Use appropriate seed varieties that are high-yielding and suited to your local conditions in Kenya. Ensure proper spacing between plants to maximize sunlight and air circulation while reducing competition. Implement timely pest and disease control measures to protect your crop yield. Practice crop rotation with legumes like beans or cowpeas to naturally improve soil fertility. Harvest at the right time and ensure proper post-harvest handling to minimize losses. If possible, implement water conservation techniques like mulching to retain soil moisture during dry periods."
7,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","# Recognizing Milk Fever in Cows

Milk fever usually occurs within 3 days after calving and is caused by low calcium levels in the cow's blood. Early signs include muscle tremors (especially in the hindquarters), restlessness, and the cow appearing unsteady when walking. As the condition progresses, the cow will become weak, unable to stand, and will often lie down with her head turned toward her flank. You may notice cold ears, dry muzzle, constipation, and the cow's eyes may appear glassy or staring. The cow's body temperature will drop below normal, and she may become unresponsive in severe cases. Older cows and high milk producers are more at risk, especially after their third or fourth calf. If you notice these signs, contact a veterinarian immediately as milk fever can be fatal if not treated promptly."
8,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","# Making Animal Feed at Home

Yes, you can definitely make nutritious animal feed at home using locally available ingredients, which can significantly reduce your farming costs. 

For poultry, you can mix maize, sorghum, or millet with sunflower seeds, fishmeal, or omena (dried small fish) for protein, plus crushed eggshells or limestone for calcium. Dairy cattle feed can be made by fermenting chopped napier grass, maize stalks, or sugarcane tops with molasses to create nutritious silage, and can be supplemented with homemade protein blocks using molasses, urea, and minerals. For pigs, a mixture of maize bran, sweet potato vines, kitchen scraps, and a protein source like fishmeal or dried legumes can work well.

Always ensure proper storage of homemade feeds in dry, clean containers to prevent mold growth. While homemade feed is cost-effective, you must be careful to maintain the right nutritional balance for your animals' needs, so consider consulting with a local agricultural extension officer for specific formulations. Start small, observe your animals' response, and adjust the recipe as needed based on their health, growth, and productivity."
9,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","# Choosing a Suitable Cow Breed

To choose the right cow breed for your farm, first consider your main purpose – whether you need a dairy breed (like Friesian, Jersey, or Ayrshire), beef breed (like Boran or Brahman), or dual-purpose breed. Consider your local climate and environment, as indigenous breeds like Zebu or Sahiwal are more disease-resistant and heat-tolerant than exotic breeds. Assess your available feed resources, as high-producing dairy breeds require better nutrition than indigenous breeds. Your available space matters too – zero-grazing systems work well with fewer, high-producing dairy cows, while extensive grazing suits hardy indigenous breeds. Also consider your experience level, available labor, and initial investment capacity, as exotic breeds cost more to purchase and maintain but may give higher returns. Check with local successful farmers or your county agricultural extension officer for advice on breeds that perform well in your specific area."
10,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are some regenerative farming strategies I can try?","# Regenerative Farming Strategies for Kenyan Smallholders

Crop rotation is a simple but powerful practice where you grow different crops in sequence on the same land, which helps break pest cycles and improves soil fertility. Consider planting nitrogen-fixing cover crops like lablab, desmodium, or mucuna between main growing seasons to prevent erosion and feed your soil. Practice minimal tillage by disturbing the soil as little as possible when planting, which protects soil structure and beneficial organisms. Make compost from farm waste, manure, and plant materials to build rich, living soil without expensive fertilizers. Try agroforestry by integrating useful trees like Grevillea, Sesbania, or fruit trees alongside your crops for multiple benefits including shade, windbreaks, and additional income. Intercropping maize with beans or cowpeas maximizes your land use while improving soil health. Use mulch from crop residues to conserve moisture and suppress weeds. Harvest rainwater using simple structures like swales or water pans to manage drought periods. Start small with these practices on a portion of your farm, then gradually expand as you see improvements."
11,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What to do if my cows are weak?  ","# Addressing Weakness in Cows

If your cows appear weak, first check if they have access to clean water and enough quality feed, as inadequate nutrition is a common cause of weakness. Examine them for signs of external parasites like ticks or internal parasites like worms, which can drain their energy and cause anemia. Look for other symptoms such as reduced appetite, diarrhea, fever, or unusual behavior, as these can help identify specific health issues. Provide mineral supplements, especially salt licks with calcium, phosphorus, and other essential minerals that are often deficient in Kenyan soils and feeds. Isolate weak animals to prevent potential disease spread and give them extra care with quality hay, dairy meal, and easily accessible water. For severely weak cows or those showing no improvement after 24 hours, contact your local veterinary officer or agrovet immediately. Implement a regular deworming schedule (every 3-4 months) and tick control program to prevent parasite-related weakness. Ensure your cows have proper shelter from extreme weather conditions, as heat stress or cold can weaken them. Maintain a vaccination calendar for common diseases in Kenya like East Coast Fever, Foot and Mouth Disease, and Anthrax to prevent disease-related weakness."
12,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the status of milk production in Kenya?  ","# Current Status of Milk Production in Kenya

Kenya is one of Africa's largest dairy producers, with annual production of about 5-6 billion liters of milk, primarily from smallholder farmers who account for over 80% of total production. Most dairy farming occurs in the highlands of Central and Rift Valley regions, where climate conditions favor dairy cattle. The sector faces challenges including high feed costs, animal diseases, limited access to extension services, and seasonal fluctuations with lower production during dry seasons. Milk prices typically range from KSh 35-60 per liter depending on location, season, and whether selling to processors or informal markets. The government has been working to improve the sector through programs supporting dairy cooperatives, artificial insemination services, and milk cooling facilities. Despite challenges, dairy remains one of Kenya's fastest growing agricultural sub-sectors, providing income for approximately 1.8 million smallholder farmers."
13,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I control yellow pests in paddy fields? ","# Controlling Yellow Pests in Rice Fields

The ""yellow pests"" in your paddy are likely either yellow stem borers (moths with yellowish larvae) or yellow planthoppers. For effective control, monitor your field weekly by checking plants for yellowing, wilting, or drying. Practice good field hygiene by removing weeds and crop residues that harbor these pests. Plant resistant rice varieties recommended for your region and maintain appropriate spacing to reduce pest movement between plants. Use proper water management—periodic draining helps reduce planthopper populations while maintaining appropriate water levels disrupts stem borer breeding. For biological control, encourage natural predators like spiders and beetles by reducing unnecessary pesticide use. If pest levels become severe, apply government-approved pesticides like Chlorpyrifos or Diazinon following label instructions and wearing protective clothing. Always consult your local agricultural extension officer for specific recommendations for your area."
14,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the best goat feed?  ","# Best Goat Feed Options for Kenyan Farmers

The best goat feed combines good quality forage (like Napier grass, sweet potato vines, or browse from trees like Calliandra and Leucaena) with supplementary feeds. During dry seasons, preserve forage as hay or silage to maintain consistent feeding. A balanced goat diet should include protein sources (legumes like desmodium or lucerne), energy (maize germ or bran), minerals, and clean water daily. You can make a cost-effective homemade feed mix using 70% energy sources (maize germ, wheat bran), 25% protein (cotton/sunflower seed cake, legumes), and 5% minerals. For lactating goats, provide dairy meal (1-2 kg daily) according to milk production. Salt licks or mineral blocks should always be available to prevent deficiencies that can cause health problems. Remember that a well-fed goat is more resistant to diseases and will produce more milk or meat."
15,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent cotton bollworm?","# Preventing Cotton Bollworm

Early detection is key, so regularly inspect your cotton plants for eggs and small larvae, especially on young buds, flowers, and bolls. Practice crop rotation by not planting cotton in the same field year after year, which helps break the pest cycle. Remove and destroy crop residues after harvest to eliminate overwintering sites for the bollworms. Consider planting trap crops like pigeon pea or maize around your cotton field to attract bollworms away from your main crop. Encourage natural enemies like ladybirds, lacewings, and parasitic wasps by avoiding unnecessary pesticide use. Use pheromone traps to monitor bollworm populations and time your interventions effectively. For biological control, consider using products containing Bacillus thuringiensis (Bt) which is effective against young bollworm larvae while being safe for beneficial insects. If chemical control becomes necessary, use recommended insecticides like chlorantraniliprole or spinosad, but always follow label instructions and wear protective clothing. For best results, spray when larvae are young and most vulnerable, typically in the early morning or late evening. Remember that combining these methods in an integrated approach provides better long-term control than relying on a single method."
16,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the best fertilizer when planting?","# Best Fertilizer for Planting

The best fertilizer when planting depends on your soil type and crop, but phosphorus-rich fertilizers like DAP (18:46:0) are generally excellent for promoting strong root development in most crops. For maize, beans, and other common Kenyan crops, applying DAP at planting time at a rate of 2-3 bottle tops per planting hole works well. If available and affordable, get your soil tested to know exactly what nutrients your soil lacks before buying fertilizer. Balanced NPK fertilizers (like 17:17:17) are also good options when planting if your soil lacks multiple nutrients. Organic options like well-decomposed manure, compost, or animal waste can be excellent and affordable alternatives, especially when mixed into the soil 2-3 weeks before planting. Remember that over-application can damage seeds, so always place fertilizer slightly away from seeds and follow the recommended rates for your specific crop. For acidic soils common in many parts of Kenya, consider applying lime before using chemical fertilizers to improve their effectiveness."
17,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How much cow dung should be applied per hectare?","# Cow Dung Application Rates

For most crops, apply 10-20 tons of well-composted cow manure per hectare (roughly 4-8 tons per acre). For vegetables or severely depleted soils, you can increase this to 20-30 tons per hectare. Apply the manure 2-3 weeks before planting to allow proper decomposition and nutrient release. If using fresh manure, apply it 3-4 months before planting to avoid crop burning and pathogen issues. Spread the manure evenly across your field and mix it into the top 15-20 cm of soil during land preparation. For established crops like fruit trees, apply manure in a ring around the plant, keeping it away from the stem or trunk. Remember that composted manure is better than fresh manure as it contains more available nutrients and fewer weed seeds."
18,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: White mold is developing on my mushrooms, what are potential solutions?  ","# Managing White Mold on Mushrooms

White mold on mushrooms is likely either cobweb mold or white plaster mold, which thrives in overly humid conditions with poor air circulation. Immediately remove and destroy all affected mushrooms to prevent the mold from spreading to healthy crops. Clean your growing area thoroughly using a 10% bleach solution, making sure to disinfect all tools and containers. Improve air circulation in your growing space by installing small fans or creating more ventilation openings while maintaining humidity levels between 80-85% instead of higher. You can spot-treat small affected areas with 3% hydrogen peroxide solution, applying carefully with a spray bottle. For future prevention, ensure your substrate is properly pasteurized, maintain strict hygiene when handling mushrooms, and keep your growing area clean. Consider adjusting your watering schedule to avoid excessive moisture on mushroom surfaces while still providing necessary humidity."
19,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How many types of onions are there and what are there benefits?  ","# Types of Onions and Their Benefits

There are three main types of onions commonly grown in Kenya: red onions (like Red Creole), white onions, and yellow/brown onions. Red onions are popular in local markets for their strong flavor and are excellent for eating fresh in salads or making kachumbari. White onions have a milder, sweeter taste and are good for cooking and processing, while yellow/brown onions have the strongest flavor and store longer, making them ideal for selling over time. All onions offer health benefits as they contain compounds that help fight diseases, reduce blood pressure, and boost immunity. Onions are also profitable crops because they can be harvested within 3-4 months and have good market demand throughout the year. Different varieties suit different growing seasons - for example, Red Creole tolerates heat well while Texas Grano performs better in cooler conditions. Additionally, onions improve soil health when rotated with other crops like maize or beans in your shamba."
20,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How much animal feed should be given to milk cows?  ","# Feeding Guidelines for Dairy Cows

A healthy dairy cow needs daily feed equivalent to 2.5-3% of its body weight in dry matter, which for a typical Kenyan cow means about 8-12 kg of dry matter. For proper milk production, divide this into roughage (fodder grasses, hay, silage) and concentrates (dairy meal, maize germ, etc.). Provide quality roughage as the base diet (about 70% of intake) and supplement with concentrates based on milk yield—typically 1 kg of concentrate for every 1.5-2 liters of milk produced above basic maintenance needs. For example, a cow producing 10 liters of milk might need 3-5 kg of dairy meal daily, divided between morning and evening feedings. Always ensure clean, fresh water is available at all times, as a dairy cow needs 40-50 liters of water daily. Adjust feed amounts if you notice body condition changing or significant changes in milk production. Remember that consistent feeding times and gradual diet changes help maintain good rumen health and steady milk production."
21,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How much feed is needed for a rural cow?  ","# Feed Requirements for Your Rural Cow

A typical rural cow needs daily feed equal to 2.5-3% of its body weight in dry matter. For an average local or crossbred cow weighing about 350-450 kg, this means 9-13 kg of dry matter daily. This can be provided through approximately 30-40 kg of fresh grass or 12-15 kg of good quality hay, plus 1-2 kg of concentrate feed for lactating cows. During lactation, a cow requires additional feed, with each liter of milk produced needing about 0.5 kg of extra feed. Always ensure clean water is available, as cows drink 30-50 liters daily depending on milk production and weather. For best results, divide feeding into at least two portions per day, and adjust amounts based on the cow's condition and production. During dry seasons, supplement with alternatives like hay, silage, or crop residues to maintain good nutrition."
