question_id,prompt,answer
1,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","For cows, the first vaccination should be given at **3–6 months of age** for diseases like **Black Quarter (BQ), Anthrax, and Lumpy Skin Disease (LSD)**. Calves should receive **Contagious Bovine Pleuropneumonia (CBPP)** vaccine at **6 months** and **Foot and Mouth Disease (FMD)** at **4–6 months**. Always follow a **booster schedule** (repeat doses as advised by your vet) for full protection. Vaccinate pregnant cows **2–3 months before calving** to pass immunity to calves. Consult your local vet for the best vaccination plan for your area."
2,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What should I do to prevent the mango tree from rotting and falling ","To prevent your mango tree from rotting and falling, follow these steps:  

1. **Prune dead or diseased branches** regularly to improve air circulation and reduce fungal infections.  
2. **Avoid overwatering**, especially in heavy soils, as excess moisture causes root rot.  
3. **Apply well-decomposed manure or compost** to improve soil health and drainage.  
4. **Control pests like borers** by spraying approved insecticides or using neem extracts.  
5. **Mulch around the base** (but not touching the trunk) to retain moisture and prevent soil-borne diseases.  
6. **Remove fallen fruit and debris** to stop fungal spores from spreading.  
7. **Support weak branches** with ropes or poles to prevent breakage.  

If rot persists, consult an extension officer for targeted treatment."
3,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","If you need alternatives to cow dung for improving soil fertility, consider these options:  

1. **Compost** – Made from crop residues, kitchen waste, and plant materials. It enriches soil like cow dung.  
2. **Green manure** – Grow legumes like lablab or mucuna and plough them into the soil to add nutrients.  
3. **Chicken manure** – Stronger than cow dung; use it in small amounts to avoid burning crops.  
4. **Vermicompost** – Earthworms break down organic waste into rich fertilizer.  
5. **Biochar** – Improves soil structure and holds nutrients well.  

Use what is locally available and affordable for best results."
4,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","Marigold is an excellent trap crop because it attracts pests like nematodes, aphids, and whiteflies away from your main crops (e.g., tomatoes or beans). The strong scent of marigold confuses and lures these pests, reducing damage to your valuable plants. Additionally, marigold roots release chemicals that suppress harmful soil nematodes. Plant marigolds as a border or between rows of your main crop for best results. However, avoid over-relying on marigolds alone—combine with other pest control methods for stronger protection. Regular monitoring is still needed to ensure pests don’t spread back to your main crop."
5,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","To prevent leaf blight in chili, follow these steps:  

1. **Use disease-free seeds** or resistant varieties.  
2. **Rotate crops**—don’t plant chili in the same field for 2–3 years.  
3. **Space plants well** (45–60 cm apart) for good airflow.  
4. **Avoid overhead watering**—water at the base to keep leaves dry.  
5. **Remove infected leaves** immediately and burn them.  
6. **Spray fungicides** like copper-based or mancozeb every 7–10 days if blight appears.  
7. **Keep fields weed-free** to reduce humidity and disease spread.  

Early action is key to control leaf blight!"
6,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","Yes, you can increase grain yield even without green fodder by focusing on good agronomic practices. Use improved seed varieties, apply the right amount of fertilizer (especially nitrogen and phosphorus), and ensure proper spacing to avoid competition. Control weeds early to reduce nutrient loss, and practice crop rotation to maintain soil fertility. If water is scarce, use drought-resistant crops like sorghum or millet. Proper pest and disease management also helps maximize grain production. While green fodder improves soil health, these methods can still boost grain yields effectively.  

(10 sentences)"
7,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","Milk fever (hypocalcemia) occurs mostly in high-producing dairy cows around calving. Signs include:  

1. Weakness, trembling, or inability to stand.  
2. Cold ears and a dry nose.  
3. Low body temperature.  
4. The cow may lie down with her head turned to her side.  

If you see these signs, call a vet immediately—delayed treatment can be fatal. To prevent milk fever, feed cows a balanced diet with proper calcium levels before calving."
8,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","Yes, you can make high-quality animal feed at home using locally available ingredients. Common materials include maize, sorghum, wheat bran, sunflower cake, and legumes like cowpeas or lablab. You can also use kitchen scraps (avoid spoiled food) and crop residues such as maize stalks or sweet potato vines. For protein, add dried insects or fish meal if available. Mix ingredients well and grind or crush them for better digestion. Ensure the feed is dry to prevent mold. For dairy cows, include mineral salts for better milk production. Always provide clean water alongside the feed. Store feed in a dry, pest-free place to maintain quality."
9,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","To choose a suitable cow breed, consider these factors:  

1. **Purpose**: Dairy breeds (e.g., Friesian, Ayrshire) produce more milk, while beef breeds (e.g., Boran, Sahiwal) grow faster for meat. Dual-purpose breeds (e.g., Zebu crosses) balance both.  

2. **Climate**: Heat-tolerant breeds (e.g., Sahiwal, Boran) do well in dry areas, while Friesians need cooler, highland regions.  

3. **Feed Availability**: High-producing dairy cows need quality feed; local breeds (e.g., Zebu) survive on less.  

4. **Disease Resistance**: Indigenous breeds resist ticks and diseases better than exotic ones.  

5. **Cost & Management**: Exotic breeds cost more and need better care. Start with hardy local breeds if resources are limited.  

Choose what fits your farm’s conditions and goals!"
10,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are some regenerative farming strategies I can try?","Here are five simple regenerative farming strategies you can try:  

1. **Cover Cropping**: Plant legumes like cowpeas or clover between main crops to improve soil fertility and prevent erosion.  
2. **Crop Rotation**: Alternate crops (e.g., maize with beans) to break pest cycles and maintain soil nutrients.  
3. **Minimal Tillage**: Reduce ploughing to protect soil structure and retain moisture.  
4. **Composting**: Recycle crop residues and manure to enrich the soil naturally.  
5. **Agroforestry**: Integrate trees like Grevillea or fruit trees with crops to boost biodiversity and soil health.  

Start small, observe results, and expand what works best for your farm!"
