question_id,prompt,answer
1,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","Calves should receive their first vaccinations based on disease risks in your area. Key guidelines:  
1. **Blackleg**: Vaccinate at 3–6 months old; booster 4 weeks later, then annually.  
2. **Foot and Mouth Disease**: Start at 4–6 months; repeat every 6–12 months.  
3. **Lumpy Skin Disease**: Vaccinate at 3–6 months; annual boosters.  
4. **Rift Valley Fever**: Only vaccinate during outbreaks or if advised by local authorities.  

**Always consult a veterinarian** to confirm timing, as maternal antibodies (if calves drink mother’s milk) can interfere with early vaccines. Use quality vaccines, keep records, and never skip boosters."
2,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What should I do to prevent the mango tree from rotting and falling ","To prevent mango tree rot and collapse:  
1. **Prune** annually to remove dead branches and improve airflow.  
2. **Sanitize** by clearing fallen leaves/fruit to stop fungal spread (e.g., anthracnose).  
3. **Avoid overwatering**—ensure soil drains well to prevent root rot.  
4. Apply **copper-based fungicide** (e.g., Bordeaux mixture) during flowering/fruiting.  
5. Control borers by removing infected bark and applying neem oil or approved pesticides.  
6. **Support heavy branches** with props to prevent breakage.  
7. **Harvest promptly** when ripe to reduce fruit rot risk.  
8. Plant **disease-resistant varieties** (e.g., Apple, Ngowe).  
9. Check for oozing sap/black spots and treat early.  
10. Avoid injuring the trunk during farming activities."
3,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","Cow dung is not a crop but a fertilizer. If you need crops that grow well with *alternative fertilizers*, consider these options:  
1. **Legumes** (beans, peas, pigeon peas): Use compost or crop residues to fix nitrogen in the soil.  
2. **Leafy greens** (kale, spinach): Apply chicken manure or compost for nutrients.  
3. **Cassava/sweet potatoes**: Grow in well-decomposed compost; they tolerate poorer soils.  
4. **Cereals** (millet, sorghum): Use green manure (e.g., sunn hemp) or ash for potassium.  
**Low-cost fertilizers**: Compost, kitchen waste, or termite mound soil can replace cow dung. Always rotate crops to maintain soil health."
4,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","Marigold acts as a trap crop by attracting pests like aphids, thrips, and whiteflies away from your main crops (e.g., tomatoes, kale). Its strong scent confuses pests, masking the smell of neighboring plants. When planted around fields or between rows, marigolds lure insects to feed on them instead, reducing damage to your cash crops. Marigolds also suppress root-knot nematodes in soil through natural chemicals in their roots. Remove infested marigold plants regularly to destroy trapped pests and prevent them from spreading. This method lowers pesticide use, saves costs, and improves yields. Ensure marigolds are spaced properly (30–50 cm apart) to avoid competing for nutrients. Use French marigolds (Tagetes patula) for best results."
5,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","To prevent leaf blight in chili:  
1. Rotate crops yearly (avoid planting tomatoes/eggplant in the same field).  
2. Use certified disease-free seeds or treat seeds in warm water (50°C for 25 minutes).  
3. Space plants 60-90 cm apart for airflow.  
4. Water at the base (avoid wetting leaves).  
5. Apply mulch (e.g., straw) to block soil-borne spores.  
6. Remove and burn infected leaves immediately.  
7. Spray organic fungicides (e.g., copper-based or neem oil) every 7–10 days in wet weather.  
8. Avoid overcrowding weeds.  
9. Use resistant varieties like ""Calypso"" or ""Dublin"" if available.  
10. After harvest, clear and compost plant debris deeply.  

Early action prevents spread!"
6,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","Yes, you can increase grain quantity without green fodder by focusing on soil health, efficient practices, and crop selection. Use compost or manure (from poultry/goats) to improve soil fertility. Intercrop grains with legumes like beans or cowpeas to add nitrogen naturally. Plant certified, high-yielding seeds (e.g., drought-tolerant maize varieties) and space crops properly to reduce competition. Apply phosphorus-rich fertilizers (e.g., DAP) during planting and top-dress with urea. Control weeds early and use mulch (crop residues) to retain soil moisture. Rotate cereals with legumes yearly to break pest cycles and sustain soil nutrients. These steps boost grain yields even without green fodder."
7,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","To recognize milk fever in cows, check these signs:  
1. **Early stage**: Cow appears restless, shakes muscles, staggers, or has cold ears.  
2. **Progression**: She collapses, lies on her chest (or side), and cannot stand. Neck may curve sideways.  
3. **Advanced stage**: Body feels cold, nose is dry, and she stops eating/defecating.  
4. Occurs mostly **1–3 days after calving**, especially in high-yielding dairy cows.  

**Act fast**: If you see these signs, contact a vet immediately for calcium injection. Delays can be fatal."
8,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","Yes, you can make high-quality animal feed at home using locally available ingredients. Mix energy sources (e.g., crushed maize, sorghum, or cassava), protein sources (e.g., sunflower seedcake, desmodium, or lablab leaves), and minerals (e.g., crushed eggshells or bone meal). For poultry, combine 70% maize, 25% wheat bran, and 5% sunflower seedcake. For dairy cows, use 50% Napier grass, 30% maize stover, and 20% legume hay (like lucerne). Dry, grind, and mix ingredients evenly. Fermenting feed (e.g., with molasses) boosts digestion. Avoid toxic plants like wilted cassava leaves. Always provide clean water. Consult your local extension officer for recipes tailored to your livestock’s needs."
9,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","To choose a suitable cow breed, follow these steps:  
1. **Purpose**: Decide if you need milk, meat, or both (e.g., Friesian for high milk, Boran for beef, Sahiwal for dual-purpose).  
2. **Climate**: Pick breeds adapted to your area (e.g., Friesian/Ayrshire for cool regions; Sahiwal for hot/dry areas).  
3. **Feed availability**: High-milk breeds require more quality feed; drought-tolerant breeds (e.g., Zebu) need less.  
4. **Disease resistance**: Choose breeds resistant to local pests/diseases (e.g., Sahiwal for tick-borne diseases).  
5. **Cost/resources**: Consider breed price, veterinary access, and housing needs.  
6. **Consult**: Talk to local farmers, extension officers, or dairy cooperatives for advice.  

Avoid exotic breeds if you lack reliable feed/healthcare. Crossbreeds (e.g., Friesian-Zebu) balance milk yield and hardiness. Start with 1–2 cows to manage risks."
10,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are some regenerative farming strategies I can try?","1. **Plant cover crops** like lablab or cowpea after harvest to protect soil, suppress weeds, and add organic matter.  
2. **Rotate crops** (e.g., maize with beans) to break pest cycles and improve soil fertility naturally.  
3. **Intercrop** legumes (e.g., beans) with cereals (e.g., maize) to fix nitrogen and maximize land use.  
4. **Practice agroforestry** by planting trees (e.g., Grevillea, mango) to shade crops, reduce erosion, and provide mulch/fruit.  
5. **Minimize tillage** to preserve soil structure, retain moisture, and protect beneficial microbes.  
6. **Apply compost/manure** to recycle nutrients and boost soil health instead of synthetic fertilizers.  
7. **Integrate livestock** (e.g., chickens, goats) to graze on crop residues and fertilize fields with manure.  
8. **Build terraces/swales** on slopes to trap rainwater, prevent runoff, and reduce erosion.  
9. **Use mulch** (e.g., dried grass, leaves) to conserve soil moisture and suppress weeds.  
10. **Avoid chemicals** to protect soil life; opt for organic pest control (e.g., neem extracts, companion planting).  

These steps rebuild soil, cut costs, and boost long-term yields. Start with 1–2 strategies suited to your farm!"
