question_id,prompt,answer
1,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","Give a calf its first protection through colostrum in the first 2 hours after birth; this is not a vaccine but it is the calf’s first “immunity.”  
From 2 – 3 weeks old you can immunise against East Coast Fever using the ITM (“brown ear tick”) vaccine once in the animal’s life.  
At 3 months give the 3-in-1 clostridial vaccine for Black-quarter, enterotoxaemia and tetanus; repeat once after four weeks, then once every year.  
Between 4 and 8 months vaccinate female calves with Brucella S-19 (only once in a lifetime).  
At 6 months start Foot-and-Mouth Disease (FMD) and Lumpy Skin Disease (LSD) vaccines; repeat FMD every 6 months and LSD every year.  
Anthrax vaccine is usually given together with Black-quarter in areas where the disease is known; begin at 6 months and repeat yearly.  
In high-risk areas vaccinate all ages against Rift Valley Fever just before the rainy season; one shot protects for about 3 years.  
Always de-worm two weeks before any vaccination and ensure the animal is healthy on the day of injection.  
Keep a simple record book so you can see when each booster is due and consult your local veterinary officer if an outbreak changes this schedule."
2,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What should I do to prevent the mango tree from rotting and falling ","1. Plant or keep your mango in a spot that drains well; if water stands at the base, dig shallow channels or plant on a small mound so the roots never sit in water, which is the main cause of root rot.  
2. Each dry season remove dead, cracked or crossing branches with a clean, sharp panga or pruner, then disinfect the tool with a little jik (bleach) to stop disease from spreading.  
3. Collect and burn or deeply bury fallen leaves, twigs and rotting fruits because they harbour the fungi that rot the trunk (anthracnose and stem-end rot).  
4. If you see bark that is soft, dark or oozing gum, gently scrape away the dead tissue and paint the spot with Bordeaux paste or any copper-based fungicide to seal it and kill the fungus.  
5. At flushing, flowering and again when fruits are chick-pea size, spray the whole tree with copper or Mancozeb; these preventive sprays protect both fruit and stem from rotting fungi.  
6. Feed the tree at the start of each rainy season with 2 buckets of well-decomposed manure plus 200 g of NPK 17-17-17, then mulch with dry grass or maize stover but keep the mulch 30 cm away from the trunk so it stays dry.  
7. Do not injure the trunk or roots with hoes, goats or fire: wounds are entry points for rot organisms and weaken the tree.  
8. If the area is windy, keep the canopy balanced by pruning and, for very young trees, stake them so the wind does not loosen the roots in wet soil.  
9. With good drainage, clean pruning, timely fungicide sprays and regular feeding, the mango stem stays healthy, roots stay firm and the tree will neither rot nor fall."
3,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","If you lack enough cow-dung, you can still feed your soil well by turning to other organic materials that are easy to find or grow on a small farm. 1) Poultry manure and 2) goat/sheep manure give even higher nitrogen than cow dung and break down faster; apply 1–2 debes (20-kg tins) per 100 m² and incorporate well before planting. 3) Green-manure legumes such as sunn hemp (Crotalaria), velvet bean (Mucuna), pigeon pea, and cowpea can be sown after harvest or between rows; cut and bury them at flowering and they will release 40–80 kg of nitrogen per acre. 4) Tithonia (Mexican sunflower) grows wild on many farms; chopping and mixing 1 ton of fresh leaves into the soil provides nutrients comparable to a medium fertiliser dose. 5) Compost made from crop residues, kitchen waste and ash, turned every two weeks, gives balanced nutrients and improves soil structure—use two wheelbarrows per 100 m². 6) Farmyard bedding (straw mixed with urine) is rich in potassium and can substitute for manure when well composted. 7) If you practice agroforestry, prunings from nitrogen-fixing trees like Calliandra and Leucaena can be worked into the topsoil as a slow-release fertiliser. 8) Finally, slurry from a household biogas unit (if you keep livestock) is almost the same as well-rotted manure and can be diluted 1:3 with water for crop application. By combining two or three of these sources you will keep soil fertility high even when cow-dung is scarce."
4,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","1. When you plant a band or strip of marigold (Tagetes spp.) around or within your main crop, many sucking insects such as thrips, aphids, whiteflies and leaf-miners are drawn to the bright flowers and strong scent, so they leave your food crop with far fewer attacks.  
2. Because the pests concentrate on the marigold, you can easily rogue out, cut, or spot-spray the marigold plants and kill large numbers of the insects before they move back to the main crop.  
3. Marigold roots release natural chemicals (thiophenes) that are poisonous to root-knot and lesion nematodes, so growing the flowers for 6–8 weeks in a field before planting vegetables can lower nematode populations in the soil.  
4. The flowers supply pollen and nectar that attract ladybird beetles, lacewings and tiny parasitic wasps, which then help control aphids, caterpillars and other pests in the whole plot.  
5. Studies in Kenya show yield increases of 10–30 % in tomatoes, French beans and capsicum where marigold trap rows were properly managed.  
6. Marigold has no negative effect on most common crops and can even improve soil organic matter when the plants are ploughed in after use.  
7. However, if you leave old marigold plants standing too long, they can themselves become a breeding site for spider mites and powdery mildew.  
8. To avoid this, remove or cut back the trap rows as soon as 50–70 % of the flowers show pest infestation, then re-seed if the main crop still needs protection.  
9. Keep marigold strips 30–40 cm wide and 1–2 m apart, and irrigate and fertilise them lightly so they stay more attractive to pests than your cash crop."
5,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","1. Start with clean seed or a tolerant variety (e.g. Bird’s Eye “Rodo” or Cayenne 452) and treat seed with hot water or Thiram before sowing.  
2. Rotate chilies with non-related crops such as maize, beans, or cowpea for at least two seasons to break the disease cycle.  
3. Plant on raised beds or ridges and keep 45 cm between plants and 60 cm between rows so air moves freely and leaves dry quickly.  
4. Water early in the morning, directing water to the soil and not the leaves; avoid overhead or late-evening irrigation.  
5. Remove, bury, or burn any blight-infected leaves or plants immediately and keep the field free of weeds and fallen debris.  
6. Apply a protectant fungicide like copper oxychloride or mancozeb (e.g. Dithane M-45) every 7–10 days during wet weather; alternate with another product (e.g. azoxystrobin) to prevent resistance.  
7. Use well-decomposed manure or a balanced NPK (e.g. 17-17-17) but do not over-apply nitrogen, which makes soft leaves that blight attacks easily.  
8. Ensure good drainage; avoid waterlogging by making channels to take excess rainwater away.  
9. After final harvest, plough in or remove crop residues and solarise or lime the soil to kill leftover spores.  
10. Consistently following these steps will keep leaf blight pressure low and protect your chili yield."
6,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","Yes, you can still raise the grain yield even when you have little or no green fodder available, but you must adjust your management.  
1. Choose an improved, high-yielding variety that is suited to your local rainfall pattern and soil type.  
2. Plant at the right time and at the recommended spacing (for example, maize at 75 cm × 25 cm with one plant per hole) so each plant captures enough light.  
3. Apply balanced fertilizer: at planting use 1 bottle-cap of DAP or planting compound per hole, then top-dress with 1 bottle-cap of CAN or urea per plant when the crop is knee-high and again just before tasselling.  
4. If you have no green manure or fodder residues, return all crop residues (stover, husks, cobs) to the field after harvest or make compost and apply it; this keeps soil organic matter and moisture.  
5. Weed early (2 and 5 weeks after emergence) because weeds that stay beyond 6 weeks can cut grain yield by more than 30 %.  
6. Control pests and diseases promptly; for example, scout for fall armyworm twice a week and spray when 5 % of plants are infested.  
7. If you irrigate or receive late rains, avoid water stress during flowering and grain-filling stages, as this is when the plant sets kernel number and size.  
8. Do not cut green leaves for fodder before the grain has matured; removing leaves too early can reduce grain yield by 20–40 %.  
9. After harvest you can take the dry stover for livestock feed; this way you protect grain yield first and still obtain fodder."
7,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","Milk fever (hypocalcaemia) usually appears within the first 1–3 days after calving, when the cow’s body suddenly needs a lot of calcium to make milk.  Early signs are subtle: the cow stops eating, produces little or no dung, seems weak and shuffles or staggers when she tries to walk.  Her ears and muzzle feel cold, and you may notice fine muscle tremors, especially on the flanks.  As the condition worsens she lies down and struggles to get up; she may sit like a dog with her head turned toward her flank.  The eyes look dull, the skin and nose become dry, and the rumen stops moving, so the left side sinks in.  If untreated she will lie flat on her side, bloat, breathe slowly, and finally become unconscious and die.  Any fresh cow showing weakness, cold ears and inability to stand should be treated by a vet immediately with intravenous or subcutaneous calcium solution.  Prompt treatment saves almost all affected cows and prevents long-term loss of milk."
8,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","Yes, you can formulate good quality feed at home, provided you follow the right recipe and hygiene. Start by choosing an energy source (e.g., maize meal, sorghum or cassava chips), a protein source (e.g., cottonseed cake, sunflower cake, fish meal or soybean meal), and a mineral/vitamin source (e.g., limestone, bone-meal, common salt and a commercial vitamin–mineral premix). Weigh each ingredient accurately with a simple scale; even small errors can unbalance the ration. Grind or crush the coarse materials, then mix everything thoroughly on a clean plastic sheet or in a drum until the colour looks uniform. For layer chickens, a common formula per 100 kg is: 55 kg maize meal, 18 kg soybean/cottonseed cake, 5 kg fish meal, 17 kg wheat pollard or bran, 3 kg limestone, 1 kg bone-meal, 1 kg premix + salt. Keep the finished feed in clean, airtight bags, off the floor and away from moisture to prevent mould and aflatoxin. Always compare the home-made cost with the price of commercial feed; if the saving is small, buy the ready mix to save labour. Finally, adjust the formula to the animal’s age and production stage, and consult your extension officer or KEBS booklet for approved rations."
9,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","1. First decide what you need most from the cow: high milk (dairy), meat (beef), or both (dual-purpose).  
2. Check that the breed performs well in your local climate; for hot, dry Kenyan areas breeds like Sahiwal, Boran, or crosses with them tolerate heat and ticks better than pure Holstein-Friesians.  
3. Estimate the feed you can supply year-round; high-yield dairy breeds such as Friesian, Jersey, or Ayrshire require plentiful quality fodder and concentrates, while indigenous breeds cope on rougher grazing.  
4. Ask your local veterinary officer which breeds resist the common diseases in your area, especially East Coast Fever and trypanosomiasis.  
5. Look at the resources you have for housing and labour; heavier, high-production cows need stronger sheds, more water, and close daily management.  
6. Consider breeding stock availability and cost: certified heifers or in-calf cows from reputable breeders or co-operatives give you known genetics and health history.  
7. If possible, choose cross-breeds (e.g., Friesian × Sahiwal, Jersey × Boran) that combine higher milk yield with hardiness suitable for smallholder conditions.  
8. Check milk buyers’ preferences in your area—some processors pay bonuses for higher butter-fat, which Jersies and their crosses provide.  
9. Finally, start small, keep good records on feed, health, and production, and use that information to select or adjust breeds in future."
10,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are some regenerative farming strategies I can try?","1. Rotate your crops—e.g., maize this season, beans or cow-peas next—so pests break their life-cycle and legumes add free nitrogen to the soil.  
2. Keep the soil covered at all times with cover crops like sunn hemp or by leaving crop residues as mulch; this cuts erosion, keeps moisture and feeds soil organisms.  
3. Limit deep ploughing; use shallow ripping or planting holes instead so earthworms and natural soil structure stay alive.  
4. Work well-rotted compost or kraal manure into the beds and apply liquid manure teas during growth to lift organic matter without relying only on bag fertiliser.  
5. Intercrop—such as maize with desmodium or sorghum with dolichos—so different plant heights and smells confuse pests and shade weeds.  
6. Plant trees or shrubs (calliandra, grevillea, fruit trees) on contours and field borders to give fodder, fuel, shade and wind protection while holding soil.  
7. Harvest rainwater in zai pits, tied ridges, or plastic tanks and use drip or bottle irrigation to bridge dry spells.  
8. Encourage beneficial insects by leaving flowering strips and use bio-pesticides like neem, chilli or soap-ash sprays, saving chemicals as a last resort.  
9. Move livestock through small paddocks and return their manure to the fields, cycling nutrients and reducing worm build-up.  
10. Keep simple notes on soil colour, earthworm numbers and yields each season; adjust practices based on what you see and watch the soil grow darker and more fertile over time."
