question_id,prompt,answer
1,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What is the appropriate age for vaccination of cows?  ","1. A newborn calf gets protective antibodies from its mother’s colostrum that last about 3–4 months.  
2. Once maternal antibodies wane, give the calf its first round of vaccines at 4–6 months of age.  
3. For most common vaccines (blackquarter, haemorrhagic septicaemia, foot‐and‐mouth), follow this with a booster 4–6 weeks later.  
4. After the primary course, revaccinate adult cattle once a year (or as the vaccine label advises).  
5. Special vaccines like Brucella S19 are given once to heifers at 4–8 months.  
6. Pregnant cows should receive a booster about 6 weeks before calving to enrich the colostrum.  
7. Always read the vaccine instructions and consult your veterinary officer for local disease risks and exact schedules."
2,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What should I do to prevent the mango tree from rotting and falling ","1. Mango trees hate waterlogged soil, so plant them on a small raised mound or ridge if your soil holds water.  
2. Make sure the graft union (the swollen part on the trunk) stays at least 10–15 cm above the soil to stop rot pathogens from entering.  
3. Remove any very wet or rotting bark and roots, then burn or bury them well away from the orchard.  
4. Prune out dead or diseased branches and thin the canopy to improve air flow and sunlight penetration.  
5. Mulch around the tree to conserve moisture but keep the mulch at least 20 cm from the trunk.  
6. Spray a copper-based fungicide or Bordeaux mixture on the trunk base and pruning cuts before the rainy season, following label rates.  
7. Avoid injuring the trunk with hoes or weeding tools and keep grass and weeds away from the collar area.  
8. Stake young or top-heavy trees until the root system is strong to prevent wind-throw.  
9. Check regularly for any signs of wet, soft patches or fruiting bodies (mushroom-like growths) at the collar.  
10. Good drainage, clean pruning, and timely fungicide sprays will greatly reduce rot and keep your mango trees standing strong."
3,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are alternative crops to cowdung?","1. Cow dung is a good organic fertilizer but you can also use other materials if it’s scarce.  
2. Poultry (chicken) or goat manure are both rich in nutrients and easy to find in most villages.  
3. Compost made from kitchen scraps, crop residues and dry leaves adds organic matter and improves soil structure.  
4. Green‐manure crops such as Sunn hemp, Mucuna (velvet bean), Crotalaria or Lablab can be grown and then ploughed back into the soil to supply nitrogen.  
5. Leguminous trees like Gliricidia or Calliandra can be pruned and used as mulch or added to your compost heap.  
6. Vermicompost (earthworm compost) turns organic waste into a fast‐acting, nutrient‐rich fertilizer.  
7. Wood ash from burned branches or maize cobs provides potassium and raises pH in acidic soils.  
8. Biofertilizers with Rhizobium or mycorrhizal fungi can also boost nutrient uptake by your crops.  
9. Rotating among these options keeps your soil fertile and reduces dependency on any single manure source."
4,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are the effects of marigold as a trap crop?","1. Marigolds (Tagetes spp.) used as a trap or cover crop release natural compounds (α-terthienyl) from their roots that kill root-knot nematodes in the soil.  
2. When you plant marigold strips around or between your main crop, nematodes move toward the marigold roots and die, lowering pest pressure on vegetables like tomatoes, beans or peppers.  
3. After 6–8 weeks of growth, cut the marigold plants and incorporate their green matter into the soil to boost nematode suppression.  
4. Trials show nematode populations can drop by up to 80–90%, reducing stunting, yellowing and yield losses in your main crop.  
5. Marigolds also attract beneficial insects (ladybirds, lacewings) that feed on aphids and other soft-bodied pests.  
6. To avoid harboring unwanted pests (for example aphids that might move onto cucurbits), remove marigold debris after incorporation and rotate with a non-host crop.  
7. Overall, using marigolds as a trap crop is a low-cost, eco-friendly way to manage soil nematodes and boost yields."
5,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I prevent leaf blight in chili?","1. Use healthy, certified seed or a blight-resistant chili variety.  
2. Rotate chili with non-host crops (e.g., maize or beans) for at least two seasons.  
3. Plant seedlings with 50–60 cm between rows and 30–40 cm within rows to improve air flow.  
4. Water at the base early in the morning—avoid overhead irrigation and never water late in the day.  
5. Remove and destroy any yellowing or spotted leaves; keep fields and tools clean.  
6. Apply a copper-based fungicide or mancozeb every 10–14 days, following label rates.  
7. Maintain balanced soil fertility—avoid too much nitrogen, which favors lush growth and disease."
6,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can the quantity of grain be increased in the absence of green fodder?  ","Yes. Grain yields depend on good soil fertility, not just green fodder, so you can still boost your harvest by:  
1. Choosing a high-yielding, early-maturing certified variety suited to your area.  
2. Planting at the right time—just after reliable rains begin—and following the recommended spacing (e.g. 75 cm between rows, 25 cm between plants).  
3. Applying a balanced fertilizer: a basal dose of DAP at planting and a top-dress of CAN or Urea about 4–6 weeks later.  
4. Incorporating any available farmyard manure or compost before planting to improve soil structure and water retention.  
5. Keeping your field weed-free through timely weeding at 3–6 weeks after planting.  
6. Using maize foliar feeds (like molybdenum or zinc sprays) if soil tests show deficiencies.  
With these steps you can raise grain quantities even when you cannot grow or source green fodder."
7,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to recognize milk fever in cows?  ","Milk fever usually shows up around calving when blood calcium drops suddenly. A cow with milk fever will be weak or down, often unable to stand or walk and may stagger if you help her up. You might see muscle tremors around the ears, eyelids or flanks and feel that her ears, muzzle and legs are unusually cool. Affected cows lose appetite, stop chewing cud and may be constipated. Their heart rate slows, and body temperature can fall below normal. In severe cases the cow may go into a coma. If you spot these signs, call your animal health worker or vet right away. Prompt treatment with an intravenous calcium solution can save her life."
8,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Can animal feed be made at home?  ","Yes. You can make balanced animal feed at home using on‐farm ingredients. Combine energy sources like maize or sorghum bran with protein sources such as sunflower cake, cottonseed cake or legume haulms. Use roughage from Napier grass, maize stover or sweet potato vines to provide fibre. A simple mix of about 70% energy feed and 30% protein feed meets most livestock needs. Add a small handful of salt and a source of calcium (e.g. crushed eggshells or limestone) to every batch. Weigh each ingredient with a scale or measuring container and mix thoroughly in a clean trough or bucket. Store the finished feed in a dry, rodent‐proof place to keep it fresh and mould‐free."
9,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do I to choose a suitable breed of cow?  ","1. First decide your main goal: milk production, beef or both.  
2. Check your farm’s climate, feed availability and your capacity to manage high-production animals.  
3. For high milk yield with good feed give Friesian, Ayrshire or Jersey breeds.  
4. If you have limited feed, heat stress or disease pressure, choose hardy breeds like Sahiwal, Red Boran or their crosses.  
5. For beef focus on Boran, Galla or Boran-exotic crosses.  
6. Crossbreeds (for example Friesian×Boran) often combine good yield with local disease tolerance.  
7. Always buy from reputable breeders who can show you health and breeding records.  
8. Ensure you can provide proper housing, clean water and regular veterinary care.  
9. Ask your extension officer about expected yield, feed requirements and local disease challenges.  
10. Finally pick a breed that fits your resources, market demand and management skills."
10,"You provide smallholder farmers in Kenya with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: What are some regenerative farming strategies I can try?","1. Rotate your main crops (maize, beans, sorghum) with legumes (e.g. lablab, mucuna) to break pest cycles and fix nitrogen in the soil.  
2. Grow cover crops in the off-season to protect bare soil from erosion, suppress weeds and add organic matter when you mulch them in.  
3. Intercrop food crops with fodder or shade trees (e.g. calliandra, leucaena) so tree leaf drop becomes free mulch and green manure.  
4. Use minimum or “zero” tillage by planting directly into old crop residues—this conserves moisture and builds soil structure.  
5. Spread mulch (straw, grass, prunings) around young plants to reduce evaporation, keep soil cooler, and feed soil life.  
6. Make and apply compost or well-rotted farmyard manure to improve soil fertility and water-holding capacity.  
7. On sloping land, construct contour ridges or terraces to slow rainwater runoff, reduce erosion and soak more water into the soil.  
8. Keep a few livestock or poultry to turn crop residues into manure, then return that manure to your fields as natural fertilizer."
