question_id,prompt,answer,correct_answer,correct_rationale
1,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which irrigation method is most efficient for water conservation in Kenya's dry regions?

Answer options:
A. Drip Irrigation
B. Flood irrigation
C. Overhead sprinkler irrigation
D. Basin irrigation
E. Furrow irrigation

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A

Rationale: Drip irrigation is the most water-efficient method as it delivers water slowly and directly to the plant's root zone. This technique significantly minimizes water loss through evaporation and runoff, which is critical in Kenya's arid and semi-arid lands. By applying water precisely where it is needed, it can achieve up to 95% water efficiency. In contrast, flood, basin, and furrow irrigation are surface methods that lose a large amount of water to evaporation from the soil surface. Overhead sprinklers are also less efficient in dry, windy conditions due to high evaporation losses before the water reaches the ground.",A,"In dry regions, water is a limited resource and needs to be conserved. Drip irrigation is the most efficient technique to conserve water as its released to the root zones to guarantee uptake by the crop."
2,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: How do I apply fertilizer in my farm to maximize yield and profitability?

Answer options:
A. Apply fertilizer randomly across the field without considering soil conditions.
B. Through spot application apply the right type, right amount, and at the right time as guided by the soil testing results.
C. Apply only nitrogen fertilizers, as other nutrients are not necessary for crop growth.
D. Apply excessive amounts of fertilizer to ensure faster plant growth and higher yields.
E. Apply fertilizer when it starts raining.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B, E

Rationale: The best way to increase yield and profit is to follow option B. Soil testing tells you exactly which nutrients your soil is missing, so you apply the right type and amount of fertilizer precisely where the plant needs it (spot application). This prevents wasting money on the wrong or too much fertilizer. Option E is also correct because fertilizer must have water to dissolve and be taken up by the crop roots. Applying it on moist soil or just before light rain ensures the plants can use it effectively. Applying fertilizer randomly (A), using only one type like nitrogen (C), or using too much (D) will waste money and can even damage your crops and soil.",B,"Fertilizer application is a technique that requires the right approach to reduce losses due to volatilization and leaching. Thus, the application should be at the right time, right rate, with the right type of fertilizer and method."
3,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: What are the best practices in the intercropping of legume crops with cereal crops?

Answer options:
A. Plant cereals densely to outcompete legumes
B. Select compatible crops, ensure timely planting, ensure proper spacing to avoid competition, and rotate rows to maximize resource use.
C. Apply nitrogen fertilizer heavily to support both crops
D. Harvest legumes before they mature to reduce shading
E. Repeatedly intercropping the same legumes with the same cereals season after season

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B

Rationale: This option provides a comprehensive summary of the best practices for successful intercropping. Selecting compatible crops (e.g., tall maize with climbing beans) ensures they complement each other rather than compete excessively for light and space. Timely planting and proper spacing are critical for managing competition for water and soil nutrients, allowing both crops to establish well. Rotating rows is an effective spatial arrangement that maximizes resource utilization and the benefits of nitrogen fixation by the legume for the cereal. The other options are incorrect as they lead to poor outcomes: dense planting (A) causes excessive competition, heavy nitrogen application (C) is uneconomical and suppresses the legume's natural nitrogen-fixing ability, and repeating the same combination (E) encourages the build-up of pests and diseases.",B,"Intercropping enhances productivity when compatible crops are selected, as they will not compete but utilize resources adequately. However, take note of planting time, spacing, and weeding to ensure intercropping benefits both crops."
4,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which is the best way to apply herbicide in my maize field? 

Answer options:
A. Apply herbicide at any stage of maize growth.
B. Spray herbicide when weeds are mature for maximum effectiveness.
C. Apply pre-emergence herbicide after planting and post-emergence herbicide when weeds are young.

D. Increase herbicide concentration to kill all weeds in one application.
E. Spraying herbicides during windy, rainy, or extremely hot conditions

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: C

Rationale: The most effective weed management strategy involves a two-step approach. Applying a pre-emergence herbicide after planting but before the crop emerges creates a protective barrier that kills weeds as they sprout, giving your maize a clean start. Following up with a post-emergence herbicide is crucial for controlling weeds that emerge later. It is vital to spray these weeds when they are still young and small, as this is when they are most vulnerable and easiest to kill. This combined approach prevents weeds from competing with your maize for water, nutrients, and sunlight during its critical early growth stages, leading to healthier plants and higher yields. Applying herbicides at the wrong time or in poor weather conditions is wasteful and can damage your crop.",C,"Weed suppression before and after emergence of the maize is crucial to minimize competition with the main crop for nutrients, sunlight and space. This approach avoids over use of chemical herbicides that would be harmful to the environment."
5,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which is the best practice for storing grain to mitigate against post-harvest losses?

Answer options:
A. Storing dry maize in airtight hermetic bags or well aerated sisal and on a pallet.
B. Storing maize in plastic bags without checking the moisture content.
C. Storing dry maize in well aerated bags and placing them on bare ground.
D. Storing both old grains and new grains in the same bags
E. Storing maize in ordinary bags that allow pest and moisture penetration to the grains.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A

Rationale: Storing properly dried grain is the most critical step to prevent mould growth and aflatoxin contamination. Hermetic bags are an excellent technology because they create an airtight environment that cuts off oxygen, killing pests like weevils and the larger grain borer without using chemicals. For those using traditional sisal or jute bags, ensuring they are well-aerated and placing them on a raised platform or pallet is essential. Pallets keep the bags off the ground, preventing moisture from seeping in from the floor and protecting them from rodents and other ground pests. All other options describe poor practices that will lead to significant post-harvest losses.",A,"Post harvest losses in grain occur due to pests, mold, and moisture. Use airtight hermetic bags to prevent pest infestation to maintain high quality of grains stored. Well aerated sisal bags will allow proper air circulation thus preventing mold growth. Placing the bags on pallets prevents moisture absorption from the ground and reduces contamination from rodents."
6,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which livestock breed is best for dairy production?

Answer options:
A. Ayrshire
B. Sahiwal
C. Friesian
D. Red Maasai
E. Jersey

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A, B, C, E

Rationale: Friesian, Ayrshire, and Jersey are specialised high-performance dairy breeds. The Friesian produces the highest volume of milk, making it very popular. The Jersey is a smaller, highly efficient cow that produces milk with a very high butterfat content. The Ayrshire is a hardy animal that adapts well to different climates and management systems, offering a good balance of production and resilience. The Sahiwal is a Zebu breed that is well-suited to Kenya’s arid and semi-arid lands due to its excellent heat tolerance and disease resistance. While its milk yield is lower, its hardiness makes it a very suitable and sustainable choice for many smallholder farmers. The Red Maasai is a sheep breed raised for meat, not a dairy cattle breed.","A, C, E","Best livestock breeds are bred for high milk yield, quality, and efficiency in feed conversion. These includes Friesian, Jersey and Ayrshire."
7,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which livestock breed is best for beef production?

Answer options:
A. Jersey
B. Sahiwal
C. Boran
D. Brahman
E. Guernsey

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: C, D

Rationale: The Boran and Brahman are the best choices for beef production among the options provided. The Boran is a hardy, indigenous Kenyan breed specifically developed for beef, thriving in local arid and semi-arid conditions while producing high-quality meat. The Brahman is another excellent beef breed, highly valued globally for its tolerance to heat, humidity, and pests, making it well-suited for Kenya's climate. In contrast, the Jersey and Guernsey are dairy breeds, primarily raised for milk. While the Sahiwal is a valuable dual-purpose breed for both milk and meat, the Boran and Brahman are specialized beef breeds and therefore superior for farmers focusing primarily on beef production.","B, C, D","Best livestock breeds for beef are bred for meat, faster maturity, and adaptability to harsh environments. These includes Boran, Sahiwal, and Brahman"
8,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: What are the suitable crops for drought prone areas?

Answer options:
A. Maize and cabbage
B. Sorghum and millet
C. Rice and sugarcane
D. Green grams and pigeon peas
E. Wheat and bananas

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B, D

Rationale: Sorghum and millet are traditional cereals known for their excellent drought tolerance, as they have deep root systems and can survive on little rainfall. Similarly, green grams and pigeon peas are hardy legumes that perform well in dry areas. Green grams mature very quickly, which helps them escape the worst of a dry season, while pigeon peas have a deep taproot that can find water far below the soil surface. Crops like maize, rice, cabbage, and sugarcane require a lot of water and are not suitable for areas with low and unreliable rainfall. Choosing these drought-resistant crops helps ensure a harvest even in difficult weather conditions.","B, D","Best crops for drought prone areas are tolerant to water stress. Some crops that are suitable for such areas include Sorghum, millet, green grams and pigeon peas"
9,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: \Which farming practices reduce soil erosion in slopy areas?

Answer options:
A. Monocropping
B. Contour farming
C. Excessive tillage
D. Planting shallow-rooted crops
E. Having bare ground

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B

Rationale:
Contour farming is a key practice for managing slopy land, as it involves planting crops across the slope instead of up and down. These rows of crops act as small dams, slowing the flow of rainwater and preventing it from washing away your valuable topsoil. This not only conserves the soil but also increases water infiltration, making more moisture available for your plants. The other options increase erosion: monocropping can weaken soil health, excessive tillage loosens the soil, shallow-rooted crops do not hold soil firmly, and bare ground leaves the soil completely exposed to rain and wind.",B,Contour farming is the most effective practice for reducing soil erosion in sloped areas. It involves plowing and planting along the natural contours of the land rather than up and down the slope to reduce water runoff and soil erosion.
10,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: What are the ways of controlling fall armyworm infestation?

Answer options:
A. Spray fungicide
B. Remove attacked crops
C. Spray FAW pesticides early or late in the day in the maize whorl
D. Spraying with crude plant extracts
E. Apply nitrogen-rich fertilizers to boost plant growth

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B, C, D, E

Rationale: An integrated pest management (IPM) approach is best for controlling fall armyworm. Removing and destroying attacked crops (B) is a good physical control method that reduces pest numbers, especially when infestations are spotted early. For chemical control, spraying recommended FAW pesticides directly into the maize whorl early in the morning or late in the evening (C) is most effective, as the pest is actively feeding at these times. Spraying with crude plant extracts (D) from plants like neem, chili, or garlic can be an effective low-cost biopesticide. Finally, applying nitrogen-rich fertilizers (E) promotes strong, vigorous growth, helping the plant to tolerate and recover from armyworm damage. Fungicides (A) are incorrect as they control fungal diseases, not insect pests.",C,Fall armyworm (FAW) is a destructive pest that primarily attacks maize and other cereal crops. The most effective method to control FAW is to apply registered pesticides early in the morning or late in the evening when the larvae are actively feeding in the maize whorl. Applying in the whorl increases the contact of the pest with the insecticides.
