id,prompt,answer
1,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: I have been applying different pesticides to control pests on my farm. However, they seem not to be effective, what can I do?","1. First, correctly identify the pest species and note its life stage before choosing a control method.  
2. Ensure the pesticide you are using is registered for that pest, not expired or counterfeit.  
3. Always follow the label instructions on dose, mixing ratio, spray volume and the recommended time of day.  
4. Calibrate your knapsack or tractor sprayer so it delivers the right volume per hectare.  
5. Rotate among different chemical groups (with different modes of action) to slow down resistance.  
6. Combine chemicals with cultural controls: remove or destroy infested plant parts, weed between rows and practise crop rotation.  
7. Introduce or conserve natural enemies by using biopesticides like neem oil or Trichogramma wasps against caterpillars.  
8. Monitor pest levels regularly and spray only when they exceed the economic threshold.  
9. Keep a simple spray diary—date, pest, product, dose—to track what works best on your farm."
2,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: I have been losing my crops and livestock due to drought and floods. What can I do to get compensation during such occurrences?","1. Enroll your crops in the Pradhan Mantri Fasal Bima Yojana (PMFBY) each season – the premium is heavily subsidized (1.5% for kharif, 2% for rabi, 5% for horticulture).  
2. Insure your milch animals and small livestock under the central Livestock Insurance Scheme at similarly low premiums.  
3. After a drought or flood event, inform your village agriculture or livestock officer (or Gram Panchayat) within 72 hours and file a crop-loss or animal-death report.  
4. The Block Development Office or Agricultural Insurance Company will survey your fields/animals and prepare a loss assessment (panchnama).  
5. Submit your claim form, land records or animal ownership proof, and photographs to the insurer or local agriculture office.  
6. Crop claims under PMFBY are settled within 60 days of submission; livestock claims follow a similar timeline.  
7. For additional relief, talk to your Tehsildar or District Collector about State Disaster Response Fund (SDRF) compensation in severe drought or flood years.  
8. Keep photocopies of all receipts, insurance documents and official reports until your claim is fully paid."
3,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: I am interested in learning about crops and livestock production. Where can I visit to learn more about crops and livestock production?","1. To learn both crop and livestock production in one place, visit your nearest Krishi Vigyan Kendra (KVK).  
2. KVKs are run by the Indian Council of Agricultural Research (ICAR) and offer free or low-cost training, field demonstrations and on-farm trials.  
3. You can also go to the local State Agricultural University’s research farm—most have crop plots and animal units you can tour.  
4. District Agriculture and Animal Husbandry offices organize farmer training days and “field schools” where you see best practices in action.  
5. ICAR livestock research institutes or State Animal Husbandry demonstration farms will show you practical feeding, breeding and disease‐management methods.  
6. Ask your District Agriculture Officer for dates of open days and short courses at these centres.  
7. Finally, talk with progressive farmers in your area who host field visits; learning from neighbours is a powerful way to pick up skills."
4,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Which bean variety is suitable for dryland agro-ecological zone?","You need a short‐duration, drought‐tolerant pulse. In our dryland zones we recommend mungbean variety SML–668 (also called “Pratap Mung”). 1. It matures in about 55–60 days, so it finishes growth before soil moisture runs out. 2. It has good resistance to yellow mosaic virus and powdery mildew. 3. Seed rate is 10–12 kg/acre, sown at 30 × 10 cm spacing. 4. You only need one light irrigation at flowering if rains fail. 5. Expect yields of 8–10 q/ha under good management. 6. Alternatively, JG–16 and T-44 are also reliable for dryland conditions."
5,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: If I am unable to acquire certified maize seeds, which variety can I save and replant the next season?","Only open-pollinated (OPV) or composite maize varieties can be saved and replanted without big yield loss. Some common OPVs in India are Ganga-5, Rampur Composite, Nandi Composite (NDC-8444), URI-300, Bio-589 and PMH-1. These varieties breed true, so you can harvest, sort and save their seed each year. Do NOT save seed from F₁ hybrids (for example HQPM or Vivek series) because their offspring will segregate and give poor yields. At harvest choose healthy, fully filled cobs from vigorous plants for seed. Dry the kernels thoroughly to under 12% moisture before storage. Store seed in clean, airtight containers, adding neem leaf powder or wood ash to deter pests. Label each batch with variety name and harvest year. Every 3–4 years, refresh your stock by purchasing fresh OPV seed or by mixing with certified seed to maintain vigour."
6,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Are chemical pesticides important and safe in crop and livestock production?","Chemical pesticides can be important for controlling crop pests and livestock parasites, helping you protect yields and animal health. But they must be used carefully to avoid harm to yourself, your family, your animals, beneficial insects and the environment. Always follow the label instructions for dose, timing and method of application, and respect the pre-harvest or withdrawal period before consumption or sale. Wear protective clothing—gloves, mask, long sleeves—and do not spray in windy weather. Buy only approved products from reliable dealers and store them safely away from children and animals. Dispose of empty containers and unused chemicals according to local rules. Whenever possible, combine chemical sprays with non-chemical methods (crop rotation, resistant varieties, natural predators) in an integrated pest management system. This balanced approach reduces your cost, lowers health risks and keeps your farm productive long term."
7,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How can I know that my soil is fertile?","1. Healthy soil is usually dark, crumbly and holds moisture without becoming waterlogged.  
2. Gently squeeze a moist handful—if it forms a loose ball that breaks apart easily, the structure is good.  
3. Look for earthworms and other soil life; their presence means plenty of organic matter and good aeration.  
4. Notice how quickly water soaks in; if it disappears steadily without puddles, your soil drains and holds water well.  
5. Observe crop growth—uniform green leaves and strong roots usually signal that nutrients are available.  
6. Yellowing or stunted plants may point to nutrient deficiencies or poor soil health.  
7. Send a soil sample to your local agricultural lab or use the government’s Soil Health Card scheme to test pH, nitrogen, phosphorus, potassium and micronutrients.  
8. Compare results with recommended values for your crop and adjust with compost, manure or fertilizers as advised.  
9. Regular organic matter additions and crop rotations will keep your soil fertile over the long term."
8,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How can I best control weeds in my farm?","1. Begin with clean seed and avoid bringing weed seeds into your field by cleaning tools and machinery.  
2. Keep bunds, pathways and irrigation channels weed-free to stop weeds spreading.  
3. Perform the first weeding when weeds are young (2–3 weeks after sowing) and a second before the crop canopy closes.  
4. Use simple tools like a hoe or tine weeder to uproot weeds without disturbing the crop roots.  
5. Apply mulch (straw, dry leaves or black plastic) between rows to block light and prevent weed germination.  
6. Rotate crops and intercrop with legumes or fast-growing cover crops to outcompete weeds for nutrients and light.  
7. Maintain proper row spacing and plant density so your crop shades the soil and suppresses weed growth.  
8. If you choose herbicides, select the right one for your crop and weeds, spray at the recommended stage and dose, and always follow the label instructions."
9,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do organic and synthetic/inorganic fertilizers compare in terms of effectiveness to crop production, and which one would be more suitable for different farming conditions?","1. Organic fertilizers (compost, farmyard manure, green manure) release nutrients slowly as they decompose, building soil organic matter, improving water-holding capacity and supporting beneficial soil microbes.  
2. Synthetic/inorganic fertilizers (urea, DAP, NPK blends) supply nutrients in concentrated, readily available forms, giving crops a rapid growth boost and helping achieve higher yields quickly.  
3. On very poor or degraded soils, organics help rebuild soil health over time but may not meet a growing crop’s full nutrient demand if used alone.  
4. In well-irrigated, high-value or high-yield systems (vegetables, cash crops), synthetic fertilizers can be fine-tuned to crop needs and growth stages for maximum productivity.  
5. Overuse of inorganics without organic matter can lead to nutrient leaching, soil acidity and reduced biological activity.  
6. Farms with easy access to crop residues, animal manure or green manure crops benefit most from organics, especially in rainfed or moisture-stress zones.  
7. Farms growing demanding crops or practicing intensive cropping often need synthetic fertilizers to meet peak nutrient demands.  
8. The best approach is Integrated Nutrient Management—combine organic sources to build soil health with targeted doses of synthetic fertilizers to meet immediate crop needs.  
9. Test your soil (pH, NPK status) every 2–3 years to calibrate organic and inorganic inputs and avoid over- or under-fertilization."
10,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Lately, the onset of rains has shown significant variability from season to season. This has affected our ability to judge when to plant. In this scenario, when is the best time to plant?","1. Rather than fixed calendar dates, sow when your field has enough moisture in the top 10–15 cm of soil.  
2. A simple “hand-test”: dig 10 cm deep, take a handful of soil and squeeze—it should stick together and hold its shape.  
3. Aim for 2–3 rains of 15–20 mm each (or about 30–40 mm total) so moisture reaches sowing depth.  
4. Check your local short-range weather forecast: choose a window with at least 50–60 percent chance of follow-up rains.  
5. If you must sow early, pick drought-tolerant or short-duration varieties and plant in small patches; stagger planting over 10–15 days.  
6. Use mulch or residue cover after sowing to conserve moisture and reduce risk from a dry spell."
